2016/01/04 {'chg': -0.02634730538922142, 'volume': 47720508, 'rate': 0.029736377688977994, 'vol_chg': 0, 'relation': (False, False), 'RSI': 0.0, 'price': {'opening': 8.34, 'closing': 8.13, 'highest': 8.38, 'lowest': 8.11, 'avg': 8.24}, 'KDJ': {'RSV': 50, 'K': 49.99999999999999, 'D': 49.99999999999999, 'J': 49.999999999999986}}
2016/01/05 {'chg': -0.007380073800738068, 'volume': 63433603, 'rate': -0.005254453159290276, 'vol_chg': 0.3292734226550983, 'relation': (False, True), 'RSI': 0.0, 'price': {'opening': 8.04, 'closing': 8.07, 'highest': 8.21, 'lowest': 7.98, 'avg': 8.075}, 'KDJ': {'RSV': 0.0, 'K': 33.33333333333333, 'D': 44.444444444444436, 'J': 11.111111111111114}}
2016/01/06 {'chg': 0.02973977695167289, 'volume': 75100836, 'rate': 0.01134498293914393, 'vol_chg': 0.18392827221244235, 'relation': (True, False), 'RSI': 46.85853086800682, 'price': {'opening': 8.09, 'closing': 8.31, 'highest': 8.33, 'lowest': 8.05, 'avg': 8.195}, 'KDJ': {'RSV': 100.0, 'K': 55.55555555555554, 'D': 48.14814814814814, 'J': 70.37037037037035}}
2016/01/07 {'chg': -0.05776173285198561, 'volume': 20888300, 'rate': -0.00020646625278387953, 'vol_chg': -0.7218632825871606, 'relation': (False, False), 'RSI': 24.531922381338095, 'price': {'opening': 8.17, 'closing': 7.83, 'highest': 8.2, 'lowest': 7.7, 'avg': 7.975}, 'KDJ': {'RSV': 0.0, 'K': 37.037037037037024, 'D': 44.44444444444443, 'J': 22.222222222222214}}
2016/01/08 {'chg': 0.020434227330779074, 'volume': 74852367, 'rate': 0.004328563239809274, 'vol_chg': 2.5834590177276273, 'relation': (True, False), 'RSI': 35.4178318141453, 'price': {'opening': 7.96, 'closing': 7.99, 'highest': 8.07, 'lowest': 7.74, 'avg': 7.940000000000001}, 'KDJ': {'RSV': 33.333333333333336, 'K': 35.802469135802454, 'D': 41.56378600823044, 'J': 24.279835390946488}}
2016/01/11 {'chg': -0.0362953692115144, 'volume': 55973597, 'rate': 0.007279853938165319, 'vol_chg': -0.2522134002789785, 'relation': (False, False), 'RSI': 28.194218517513185, 'price': {'opening': 7.9, 'closing': 7.7, 'highest': 7.97, 'lowest': 7.69, 'avg': 7.815}, 'KDJ': {'RSV': 0.0, 'K': 23.868312757201636, 'D': 35.66529492455417, 'J': 0.27434842249657265}}
2016/01/12 {'chg': 0.007792207792207741, 'volume': 47167537, 'rate': 0.006157114991094056, 'vol_chg': -0.1573252474733757, 'relation': (False, False), 'RSI': 31.206457987354764, 'price': {'opening': 7.66, 'closing': 7.76, 'highest': 7.84, 'lowest': 7.6, 'avg': 7.715}, 'KDJ': {'RSV': 9.836065573770423, 'K': 19.19089702939123, 'D': 30.173828959499854, 'J': -2.774966830826017}}
2016/01/13 {'chg': -0.019329896907216426, 'volume': 43472024, 'rate': 0.00045472598625916766, 'vol_chg': -0.07834865322732455, 'relation': (False, False), 'RSI': 28.265089352503757, 'price': {'opening': 7.8, 'closing': 7.61, 'highest': 7.81, 'lowest': 7.59, 'avg': 7.7025}, 'KDJ': {'RSV': 0.0, 'K': 12.793931352927487, 'D': 24.380529757309063, 'J': -10.379265455835665}}
2016/01/14 {'chg': 0.0026281208935610475, 'volume': 47428219, 'rate': -0.013477543197408752, 'vol_chg': 0.09100553956263918, 'relation': (True, False), 'RSI': 29.172745157817698, 'price': {'opening': 7.5, 'closing': 7.63, 'highest': 7.65, 'lowest': 7.43, 'avg': 7.552499999999999}, 'KDJ': {'RSV': 2.8571428571427955, 'K': 9.481668520999255, 'D': 19.414242678539125, 'J': -10.383479794080486}}
2016/01/15 {'chg': -0.038007863695937096, 'volume': 52349872, 'rate': -0.008984966476169181, 'vol_chg': 0.10377056325897457, 'relation': (False, True), 'RSI': 24.66025460896042, 'price': {'opening': 7.62, 'closing': 7.34, 'highest': 7.62, 'lowest': 7.3, 'avg': 7.47}, 'KDJ': {'RSV': 0.0, 'K': 6.321112347332837, 'D': 15.049865901470362, 'J': -11.136394760942213}}
2016/01/18 {'chg': -0.009536784741144453, 'volume': 38355700, 'rate': -0.013133988903594561, 'vol_chg': -0.26732008055339657, 'relation': (False, False), 'RSI': 26.471267082097786, 'price': {'opening': 7.14, 'closing': 7.27, 'highest': 7.34, 'lowest': 7.1, 'avg': 7.2124999999999995}, 'KDJ': {'RSV': 0.0, 'K': 4.214074898221891, 'D': 11.437935567054204, 'J': -10.233646439442737}}
