2016/01/04 {'chg': -0.07205934298834331, 'volume': 14579915, 'rate': 0.004861335673109243, 'vol_chg': 0, 'relation': (False, False), 'RSI': 0.0, 'price': {'opening': 28.29, 'closing': 26.27, 'highest': 28.29, 'lowest': 26.22, 'avg': 27.2675}, 'KDJ': {'RSV': 50, 'K': 49.99999999999999, 'D': 49.99999999999999, 'J': 49.999999999999986}}
2016/01/05 {'chg': 0.0220784164446137, 'volume': 20444044, 'rate': 0.024993777443444262, 'vol_chg': 0.4022059799388405, 'relation': (True, False), 'RSI': 23.453305642288523, 'price': {'opening': 25.6, 'closing': 26.85, 'highest': 27.04, 'lowest': 25.56, 'avg': 26.262500000000003}, 'KDJ': {'RSV': 100.0, 'K': 66.66666666666666, 'D': 55.55555555555554, 'J': 88.88888888888889}}
2016/01/06 {'chg': 0.00260707635009312, 'volume': 15200717, 'rate': -0.022622009216709822, 'vol_chg': -0.2564721050297094, 'relation': (False, False), 'RSI': 25.516083204755166, 'price': {'opening': 26.5, 'closing': 26.92, 'highest': 26.95, 'lowest': 26.31, 'avg': 26.67}, 'KDJ': {'RSV': 100.0, 'K': 77.77777777777777, 'D': 62.96296296296295, 'J': 107.40740740740742}}
2016/01/07 {'chg': -0.07020802377414563, 'volume': 3276865, 'rate': 0.008730981732651147, 'vol_chg': -0.784426945123707, 'relation': (False, False), 'RSI': 14.785905949846823, 'price': {'opening': 26.6, 'closing': 25.03, 'highest': 26.6, 'lowest': 24.88, 'avg': 25.7775}, 'KDJ': {'RSV': 0.0, 'K': 51.85185185185185, 'D': 59.259259259259245, 'J': 37.03703703703705}}
2016/01/08 {'chg': 0.01638034358769477, 'volume': 20995405, 'rate': -0.00570912244190603, 'vol_chg': 5.407162028341113, 'relation': (True, False), 'RSI': 22.399563024023937, 'price': {'opening': 25.81, 'closing': 25.44, 'highest': 26.3, 'lowest': 24.63, 'avg': 25.544999999999998}, 'KDJ': {'RSV': 21.693121693121693, 'K': 41.7989417989418, 'D': 53.43915343915343, 'J': 18.518518518518533}}
2016/01/11 {'chg': -0.0707547169811321, 'volume': 21057998, 'rate': -0.010989816505105568, 'vol_chg': 0.0029812713781896564, 'relation': (False, True), 'RSI': 16.16205774837062, 'price': {'opening': 24.73, 'closing': 23.64, 'highest': 25.25, 'lowest': 23.37, 'avg': 24.247500000000002}, 'KDJ': {'RSV': 0.0, 'K': 27.86596119929453, 'D': 44.91475602586712, 'J': -6.231628453850647}}
2016/01/12 {'chg': 0.008037225042301088, 'volume': 12430753, 'rate': 0.00579463965858527, 'vol_chg': -0.4096897055456079, 'relation': (False, False), 'RSI': 18.732678771878653, 'price': {'opening': 23.99, 'closing': 23.83, 'highest': 24.45, 'lowest': 23.57, 'avg': 23.959999999999997}, 'KDJ': {'RSV': 5.792682926829197, 'K': 20.50820177513942, 'D': 36.77923794229122, 'J': -12.033870559164178}}
2016/01/13 {'chg': -0.020981955518254304, 'volume': 10866722, 'rate': 0.006153327624707085, 'vol_chg': -0.12581948977668528, 'relation': (False, False), 'RSI': 17.34434117181104, 'price': {'opening': 24.29, 'closing': 23.33, 'highest': 24.29, 'lowest': 23.3, 'avg': 23.8025}, 'KDJ': {'RSV': 0.0, 'K': 13.672134516759613, 'D': 29.07687013378068, 'J': -17.137336717282523}}
2016/01/14 {'chg': 0.015859408486926747, 'volume': 11213835, 'rate': -0.006230057542674052, 'vol_chg': 0.03194275145715516, 'relation': (True, False), 'RSI': 21.729012420561315, 'price': {'opening': 22.9, 'closing': 23.7, 'highest': 23.81, 'lowest': 22.53, 'avg': 23.235}, 'KDJ': {'RSV': 10.306406685236787, 'K': 12.550225239585336, 'D': 23.567988502382228, 'J': -9.48530128600845}}
2016/01/15 {'chg': -0.018987341772151868, 'volume': 12198578, 'rate': 0.02081854878880389, 'vol_chg': 0.08781500708722752, 'relation': (False, True), 'RSI': 20.431414722110897, 'price': {'opening': 23.58, 'closing': 23.25, 'highest': 23.63, 'lowest': 22.6, 'avg': 23.265}, 'KDJ': {'RSV': 0.0, 'K': 8.366816826390224, 'D': 18.50093127705156, 'J': -11.901412074932448}}
2016/01/18 {'chg': -0.0008602150537634225, 'volume': 10643911, 'rate': -0.005793902897938221, 'vol_chg': -0.12744657615010538, 'relation': (False, False), 'RSI': 26.326738195286044, 'price': {'opening': 22.72, 'closing': 23.23, 'highest': 23.64, 'lowest': 22.7, 'avg': 23.0725}, 'KDJ': {'RSV': 0.0, 'K': 5.577877884260149, 'D': 14.193246812787756, 'J': -11.652859972795063}}
