2016/01/04 {'chg': -0.0349127182044887, 'volume': 231362456, 'rate': 0.017743710460628365, 'vol_chg': 0, 'relation': (False, False), 'RSI': 0.0, 'price': {'opening': 4.01, 'closing': 3.87, 'highest': 4.01, 'lowest': 3.87, 'avg': 3.9400000000000004}, 'KDJ': {'RSV': 50, 'K': 49.99999999999999, 'D': 49.99999999999999, 'J': 49.999999999999986}}
2016/01/05 {'chg': -0.002583979328165434, 'volume': 276663796, 'rate': -0.0005882546265720762, 'vol_chg': 0.1958024684869355, 'relation': (False, True), 'RSI': 0.0, 'price': {'opening': 3.8, 'closing': 3.86, 'highest': 3.92, 'lowest': 3.78, 'avg': 3.84}, 'KDJ': {'RSV': 0.0, 'K': 33.33333333333333, 'D': 44.444444444444436, 'J': 11.111111111111114}}
2016/01/06 {'chg': 0.007772020725388666, 'volume': 171439941, 'rate': -0.009498673807630777, 'vol_chg': -0.38033113302616584, 'relation': (False, False), 'RSI': 17.16863437812894, 'price': {'opening': 3.85, 'closing': 3.89, 'highest': 3.9, 'lowest': 3.83, 'avg': 3.8675}, 'KDJ': {'RSV': 100.0, 'K': 55.55555555555554, 'D': 48.14814814814814, 'J': 70.37037037037035}}
2016/01/07 {'chg': -0.02570694087403601, 'volume': 62171674, 'rate': 0.028331143353722606, 'vol_chg': -0.6373559531264654, 'relation': (False, False), 'RSI': 10.950262132720303, 'price': {'opening': 3.87, 'closing': 3.79, 'highest': 3.87, 'lowest': 3.74, 'avg': 3.8175}, 'KDJ': {'RSV': 0.0, 'K': 37.037037037037024, 'D': 44.44444444444443, 'J': 22.222222222222214}}
2016/01/08 {'chg': 0.0026385224274405768, 'volume': 312933094, 'rate': -0.012482930119247558, 'vol_chg': 4.033370888485325, 'relation': (True, False), 'RSI': 14.142034771400658, 'price': {'opening': 3.82, 'closing': 3.8, 'highest': 3.86, 'lowest': 3.73, 'avg': 3.8025}, 'KDJ': {'RSV': 9.999999999999778, 'K': 28.024691358024604, 'D': 38.97119341563782, 'J': 6.131687242798179}}
2016/01/11 {'chg': -0.03947368421052629, 'volume': 247933744, 'rate': 0.0014386721721375423, 'vol_chg': -0.2077100544693429, 'relation': (False, False), 'RSI': 9.20571193199293, 'price': {'opening': 3.76, 'closing': 3.65, 'highest': 3.78, 'lowest': 3.63, 'avg': 3.7049999999999996}, 'KDJ': {'RSV': 0.0, 'K': 18.683127572016403, 'D': 32.20850480109735, 'J': -8.367626886145487}}
2016/01/12 {'chg': -0.005479452054794526, 'volume': 181574492, 'rate': -0.007014624902174032, 'vol_chg': -0.26764913452039024, 'relation': (False, False), 'RSI': 8.780280556070911, 'price': {'opening': 3.67, 'closing': 3.63, 'highest': 3.69, 'lowest': 3.6, 'avg': 3.6475}, 'KDJ': {'RSV': 0.0, 'K': 12.455418381344268, 'D': 25.624142661179654, 'J': -13.882030178326502}}
2016/01/13 {'chg': -0.013774104683195544, 'volume': 148316423, 'rate': 0.00480148677009648, 'vol_chg': -0.18316487428201092, 'relation': (False, False), 'RSI': 7.86642833025096, 'price': {'opening': 3.65, 'closing': 3.58, 'highest': 3.66, 'lowest': 3.58, 'avg': 3.6175}, 'KDJ': {'RSV': 0.0, 'K': 8.303612254229511, 'D': 19.850632525529605, 'J': -14.790428288370677}}
2016/01/14 {'chg': 0.002793296089385415, 'volume': 221504339, 'rate': -0.01232815645730272, 'vol_chg': 0.4934579362124989, 'relation': (True, False), 'RSI': 9.770871156767729, 'price': {'opening': 3.55, 'closing': 3.59, 'highest': 3.62, 'lowest': 3.5, 'avg': 3.565}, 'KDJ': {'RSV': 3.2258064516128337, 'K': 6.611010320023952, 'D': 15.437425123694386, 'J': -11.041819287316915}}
2016/01/15 {'chg': -0.030640668523676848, 'volume': 196653820, 'rate': -0.003391350482690618, 'vol_chg': -0.11218976166421733, 'relation': (False, False), 'RSI': 7.964897245312616, 'price': {'opening': 3.57, 'closing': 3.48, 'highest': 3.57, 'lowest': 3.46, 'avg': 3.52}, 'KDJ': {'RSV': 0.0, 'K': 4.4073402133493005, 'D': 11.760730153579356, 'J': -10.29943966711081}}
2016/01/18 {'chg': -0.005747126436781614, 'volume': 162947733, 'rate': -0.009124506701016527, 'vol_chg': -0.17139807912198196, 'relation': (False, False), 'RSI': 9.66536785159375, 'price': {'opening': 3.44, 'closing': 3.46, 'highest': 3.49, 'lowest': 3.41, 'avg': 3.45}, 'KDJ': {'RSV': 0.0, 'K': 2.9382268088995334, 'D': 8.819895705352748, 'J': -8.825110984006894}}
2016/01/19 {'chg': 0.020231213872832325, 'volume': 191446095, 'rate': -0.0044850689699777214, 'vol_chg': 0.17489265714423902, 'relation': (True, False), 'RSI': 21.67489749876738, 'price': {'opening': 3.46, 'closing': 3.53, 'highest': 3.57, 'lowest': 3.44, 'avg': 3.4999999999999996}, 'KDJ': {'RSV': 16.27906976744182, 'K': 7.385174461746962, 'D': 8.341655290817485, 'J': 5.472212803605913}}
2016/01/20 {'chg': -0.01699716713881009, 'volume': 193814319, 'rate': -0.009091026974805632, 'vol_chg': 0.0123701870231409, 'relation': (False, True), 'RSI': 15.697755540495782, 'price': {'opening': 3.52, 'closing': 3.47, 'highest': 3.53, 'lowest': 3.44, 'avg': 3.49}, 'KDJ': {'RSV': 2.9411764705883043, 'K': 5.903841798027409, 'D': 7.529050793220793, 'J': 2.6534238076406442}}
2016/01/21 {'chg': -0.011527377521613843, 'volume': 235026277, 'rate': 0.013265663963565181, 'vol_chg': 0.2126362913361422, 'relation': (False, True), 'RSI': 17.188602316488485, 'price': {'opening': 3.44, 'closing': 3.43, 'highest': 3.53, 'lowest': 3.42, 'avg': 3.455}, 'KDJ': {'RSV': 0.0, 'K': 3.9358945320182728, 'D': 6.33133203948662, 'J': -0.8549804829184211}}
2016/01/22 {'chg': 0.005830903790087469, 'volume': 149795634, 'rate': -0.003763926506034445, 'vol_chg': -0.3626430375697948, 'relation': (False, False), 'RSI': 18.92220389308762, 'price': {'opening': 3.45, 'closing': 3.45, 'highest': 3.46, 'lowest': 3.41, 'avg': 3.4425}, 'KDJ': {'RSV': 9.09090909090911, 'K': 5.654232718315218, 'D': 6.10563226576282, 'J': 4.7514336234200165}}
2016/01/25 {'chg': -0.002898550724637748, 'volume': 128482004, 'rate': -0.008655448902310896, 'vol_chg': -0.1422847210620304, 'relation': (False, False), 'RSI': 24.892553824900588, 'price': {'opening': 3.45, 'closing': 3.44, 'highest': 3.46, 'lowest': 3.42, 'avg': 3.4425}, 'KDJ': {'RSV': 4.9999999999999, 'K': 5.436155145543445, 'D': 5.8824732256896946, 'J': 4.543518985250946}}
2016/01/26 {'chg': -0.05813953488372085, 'volume': 234733423, 'rate': -0.008860486482838714, 'vol_chg': 0.8269751069573915, 'relation': (False, True), 'RSI': 17.116753704515727, 'price': {'opening': 3.43, 'closing': 3.24, 'highest': 3.43, 'lowest': 3.23, 'avg': 3.3325}, 'KDJ': {'RSV': 0.0, 'K': 3.6241034303622968, 'D': 5.129683293913895, 'J': 0.6129437032591003}}
2016/01/27 {'chg': -0.006172839506172844, 'volume': 227724796, 'rate': -0.0021813901029861284, 'vol_chg': -0.029857814496233884, 'relation': (False, False), 'RSI': 17.924991075452624, 'price': {'opening': 3.24, 'closing': 3.22, 'highest': 3.28, 'lowest': 3.14, 'avg': 3.22}, 'KDJ': {'RSV': 0.0, 'K': 2.4160689535748645, 'D': 4.2251451804675515, 'J': -1.2020835002105095}}
2016/01/28 {'chg': -0.018633540372670822, 'volume': 147395495, 'rate': 0.003779983199069966, 'vol_chg': -0.35274727395079103, 'relation': (False, False), 'RSI': 14.739439226576701, 'price': {'opening': 3.2, 'closing': 3.16, 'highest': 3.22, 'lowest': 3.15, 'avg': 3.1825}, 'KDJ': {'RSV': 0.0, 'K': 1.6107126357165762, 'D': 3.3536676655505597, 'J': -1.8751974239513904}}
2016/01/29 {'chg': 0.018987341772151913, 'volume': 189463124, 'rate': -0.004731078719861455, 'vol_chg': 0.28540647731465607, 'relation': (True, False), 'RSI': 27.27532883407426, 'price': {'opening': 3.16, 'closing': 3.22, 'highest': 3.24, 'lowest': 3.16, 'avg': 3.1950000000000003}, 'KDJ': {'RSV': 16.216216216216246, 'K': 6.479213829216466, 'D': 4.395516386772528, 'J': 10.64660871410434}}
2016/02/01 {'chg': -0.015527950310559088, 'volume': 152486191, 'rate': -0.001864911968881484, 'vol_chg': -0.19516691279723647, 'relation': (False, False), 'RSI': 25.75043231096612, 'price': {'opening': 3.22, 'closing': 3.17, 'highest': 3.22, 'lowest': 3.14, 'avg': 3.1875}, 'KDJ': {'RSV': 2.7027027027026476, 'K': 5.220376787045193, 'D': 4.670469853530083, 'J': 6.3201906540754145}}
2016/02/02 {'chg': 0.009463722397476419, 'volume': 123380366, 'rate': -0.007883730777911999, 'vol_chg': -0.19087515275399594, 'relation': (False, False), 'RSI': 20.880857421882105, 'price': {'opening': 3.16, 'closing': 3.2, 'highest': 3.22, 'lowest': 3.15, 'avg': 3.1825}, 'KDJ': {'RSV': 12.903225806451623, 'K': 7.7813264601806695, 'D': 5.707422055746945, 'J': 11.92913526904812}}
2016/02/03 {'chg': -0.009375000000000078, 'volume': 126413771, 'rate': -0.006458171589979016, 'vol_chg': 0.024585799980525264, 'relation': (False, True), 'RSI': 21.89746880276983, 'price': {'opening': 3.17, 'closing': 3.17, 'highest': 3.18, 'lowest': 3.14, 'avg': 3.165}, 'KDJ': {'RSV': 3.4482758620688916, 'K': 6.336976260810077, 'D': 5.917273457434655, 'J': 7.17638186756092}}
2016/02/04 {'chg': 0.006309148264984233, 'volume': 123565660, 'rate': -0.005434924017468989, 'vol_chg': -0.02253006913305355, 'relation': (False, False), 'RSI': 26.821402112368553, 'price': {'opening': 3.18, 'closing': 3.19, 'highest': 3.21, 'lowest': 3.17, 'avg': 3.1875}, 'KDJ': {'RSV': 10.344827586206828, 'K': 7.672926702608993, 'D': 6.5024912058261, 'J': 10.013797696174777}}
2016/02/05 {'chg': -0.003134796238244447, 'volume': 93263381, 'rate': 0.0017009982310009974, 'vol_chg': -0.24523220286283423, 'relation': (False, False), 'RSI': 23.385122086382196, 'price': {'opening': 3.19, 'closing': 3.18, 'highest': 3.21, 'lowest': 3.17, 'avg': 3.1875}, 'KDJ': {'RSV': 7.142857142857154, 'K': 7.496236849358379, 'D': 6.8337397536701925, 'J': 8.821231040734752}}
2016/02/15 {'chg': -0.015723270440251656, 'volume': 126021599, 'rate': -0.01088747597100621, 'vol_chg': 0.351244160878105, 'relation': (False, True), 'RSI': 21.527730988120386, 'price': {'opening': 3.1, 'closing': 3.13, 'highest': 3.15, 'lowest': 3.08, 'avg': 3.115}, 'KDJ': {'RSV': 0.0, 'K': 4.997491232905586, 'D': 6.221656913415323, 'J': 2.5491598718861113}}
2016/02/16 {'chg': 0.03194888178913741, 'volume': 180558419, 'rate': 0.006695288449744534, 'vol_chg': 0.43275772115857697, 'relation': (True, False), 'RSI': 49.31314649383906, 'price': {'opening': 3.14, 'closing': 3.23, 'highest': 3.24, 'lowest': 3.14, 'avg': 3.1875000000000004}, 'KDJ': {'RSV': 100.0, 'K': 36.664994155270385, 'D': 16.369435994033676, 'J': 77.25611047774379}}
2016/02/17 {'chg': 0.0030959752321982137, 'volume': 136087997, 'rate': -0.00519395814365112, 'vol_chg': -0.24629381585358254, 'relation': (False, False), 'RSI': 52.8027734542861, 'price': {'opening': 3.21, 'closing': 3.24, 'highest': 3.25, 'lowest': 3.2, 'avg': 3.225}, 'KDJ': {'RSV': 100.0, 'K': 57.77666277018025, 'D': 30.171844919415868, 'J': 112.98629847170902}}
2016/02/18 {'chg': -0.0030864197530864907, 'volume': 126623313, 'rate': -0.0018582814751828857, 'vol_chg': -0.0695482644218799, 'relation': (False, False), 'RSI': 59.84017980497634, 'price': {'opening': 3.24, 'closing': 3.23, 'highest': 3.26, 'lowest': 3.22, 'avg': 3.2375000000000003}, 'KDJ': {'RSV': 90.90909090909072, 'K': 68.82080548315041, 'D': 43.054831773994046, 'J': 120.35275290146312}}
2016/02/19 {'chg': -0.0030959752321980762, 'volume': 84408137, 'rate': -0.002328388808508323, 'vol_chg': -0.33339181387553807, 'relation': (False, False), 'RSI': 50.43385560763942, 'price': {'opening': 3.22, 'closing': 3.22, 'highest': 3.23, 'lowest': 3.2, 'avg': 3.2175000000000002}, 'KDJ': {'RSV': 81.81818181818186, 'K': 73.15326426149421, 'D': 53.087642603160766, 'J': 113.28450757816113}}
2016/02/22 {'chg': 0.021739130434782556, 'volume': 231254395, 'rate': 0.003700849478073358, 'vol_chg': 1.7397168474409048, 'relation': (True, False), 'RSI': 67.82769436635506, 'price': {'opening': 3.24, 'closing': 3.29, 'highest': 3.3, 'lowest': 3.22, 'avg': 3.2625}, 'KDJ': {'RSV': 100.0, 'K': 82.10217617432947, 'D': 62.75915379355033, 'J': 120.78822093588774}}
2016/02/23 {'chg': -0.015197568389057697, 'volume': 133925578, 'rate': -0.008980118357170696, 'vol_chg': -0.4208733719417527, 'relation': (False, False), 'RSI': 55.98019885411661, 'price': {'opening': 3.28, 'closing': 3.24, 'highest': 3.28, 'lowest': 3.22, 'avg': 3.255}, 'KDJ': {'RSV': 68.75000000000014, 'K': 77.65145078288636, 'D': 67.72325278999567, 'J': 97.50784676866775}}
2016/02/24 {'chg': 0.0, 'volume': 101222603, 'rate': -0.006754760528469827, 'vol_chg': -0.24418767115569215, 'relation': (False, False), 'RSI': 61.05915407857902, 'price': {'opening': 3.23, 'closing': 3.24, 'highest': 3.25, 'lowest': 3.21, 'avg': 3.2325000000000004}, 'KDJ': {'RSV': 68.75000000000014, 'K': 74.68430052192429, 'D': 70.04360203397187, 'J': 83.96569749782913}}
2016/02/25 {'chg': -0.03703703703703707, 'volume': 217643245, 'rate': 0.012165252721476102, 'vol_chg': 1.150144716195453, 'relation': (False, True), 'RSI': 42.357442880992764, 'price': {'opening': 3.24, 'closing': 3.12, 'highest': 3.25, 'lowest': 3.11, 'avg': 3.1799999999999997}, 'KDJ': {'RSV': 0.0, 'K': 49.789533681282855, 'D': 63.29224591640886, 'J': 22.784109211030852}}
2016/02/26 {'chg': 0.009615384615384552, 'volume': 155053213, 'rate': 0.0023233135903318975, 'vol_chg': -0.2875808619743746, 'relation': (False, False), 'RSI': 47.24600880608398, 'price': {'opening': 3.14, 'closing': 3.15, 'highest': 3.17, 'lowest': 3.12, 'avg': 3.145}, 'KDJ': {'RSV': 17.647058823529303, 'K': 39.075375395365, 'D': 55.219955742727564, 'J': 6.786214700639874}}
2016/02/29 {'chg': 0.006349206349206355, 'volume': 281977861, 'rate': 0.028302178066733293, 'vol_chg': 0.818587667706054, 'relation': (True, False), 'RSI': 55.46316272033395, 'price': {'opening': 3.14, 'closing': 3.17, 'highest': 3.18, 'lowest': 3.1, 'avg': 3.1475}, 'KDJ': {'RSV': 29.41176470588226, 'K': 35.85417183220409, 'D': 48.76469443921974, 'J': 10.033126618172787}}
2016/03/01 {'chg': 0.009463722397476419, 'volume': 165551328, 'rate': -0.0034317295205114322, 'vol_chg': -0.41289246108580135, 'relation': (False, False), 'RSI': 46.248826870418654, 'price': {'opening': 3.17, 'closing': 3.2, 'highest': 3.21, 'lowest': 3.15, 'avg': 3.1825}, 'KDJ': {'RSV': 47.058823529411825, 'K': 39.58905573127333, 'D': 45.7061482032376, 'J': 27.354870787344794}}
2016/03/02 {'chg': 0.018749999999999878, 'volume': 259457490, 'rate': -0.0139491816491836, 'vol_chg': 0.5672329128039372, 'relation': (True, False), 'RSI': 53.016237147008546, 'price': {'opening': 3.2, 'closing': 3.26, 'highest': 3.27, 'lowest': 3.19, 'avg': 3.23}, 'KDJ': {'RSV': 82.35294117647044, 'K': 53.8436842130057, 'D': 48.418660206493634, 'J': 64.69373222602984}}
2016/03/03 {'chg': 0.0061349693251533804, 'volume': 226155970, 'rate': 0.003448416842239245, 'vol_chg': -0.12835058259447435, 'relation': (False, False), 'RSI': 56.563604751098595, 'price': {'opening': 3.25, 'closing': 3.28, 'highest': 3.28, 'lowest': 3.22, 'avg': 3.2575}, 'KDJ': {'RSV': 94.1176470588234, 'K': 67.26833849494493, 'D': 54.70188630264406, 'J': 92.40124287954664}}
2016/03/04 {'chg': 0.03658536585365857, 'volume': 538911677, 'rate': 0.0327474337352098, 'vol_chg': 1.382920411077364, 'relation': (True, False), 'RSI': 67.53040888879593, 'price': {'opening': 3.26, 'closing': 3.4, 'highest': 3.43, 'lowest': 3.25, 'avg': 3.335}, 'KDJ': {'RSV': 100.0, 'K': 78.17889232996328, 'D': 62.52755497841713, 'J': 109.48156703305557}}
2016/03/07 {'chg': -0.002941176470588173, 'volume': 181415532, 'rate': -0.009158626502475174, 'vol_chg': -0.6633668563095544, 'relation': (False, False), 'RSI': 61.16417167624598, 'price': {'opening': 3.38, 'closing': 3.39, 'highest': 3.43, 'lowest': 3.36, 'avg': 3.39}, 'KDJ': {'RSV': 96.4285714285715, 'K': 84.26211869616601, 'D': 69.7724095510001, 'J': 113.24153698649786}}
2016/03/08 {'chg': 0.0029498525073745683, 'volume': 196278431, 'rate': 0.001875231514208914, 'vol_chg': 0.08192737874285207, 'relation': (True, False), 'RSI': 69.20648138991598, 'price': {'opening': 3.37, 'closing': 3.4, 'highest': 3.41, 'lowest': 3.3, 'avg': 3.37}, 'KDJ': {'RSV': 100.0, 'K': 89.50807913077733, 'D': 76.3509660775925, 'J': 115.82230523714699}}
2016/03/09 {'chg': 0.008823529411764779, 'volume': 184954563, 'rate': 0.01910918748920747, 'vol_chg': -0.057692880171841196, 'relation': (False, False), 'RSI': 71.16614268853735, 'price': {'opening': 3.35, 'closing': 3.43, 'highest': 3.44, 'lowest': 3.33, 'avg': 3.3875}, 'KDJ': {'RSV': 100.0, 'K': 93.00538608718489, 'D': 81.9024394141233, 'J': 115.21127943330808}}
2016/03/10 {'chg': -0.023323615160349875, 'volume': 104775231, 'rate': -0.007818369401816863, 'vol_chg': -0.43350826656815167, 'relation': (False, False), 'RSI': 78.97754145545919, 'price': {'opening': 3.39, 'closing': 3.35, 'highest': 3.42, 'lowest': 3.34, 'avg': 3.375}, 'KDJ': {'RSV': 71.42857142857143, 'K': 85.81311453431374, 'D': 83.2059977875201, 'J': 91.02734802790101}}
2016/03/11 {'chg': 0.014925373134328304, 'volume': 132583922, 'rate': 0.013390200286948798, 'vol_chg': 0.2654128340695331, 'relation': (True, False), 'RSI': 79.83459901401868, 'price': {'opening': 3.33, 'closing': 3.4, 'highest': 3.41, 'lowest': 3.33, 'avg': 3.3675}, 'KDJ': {'RSV': 88.46153846153838, 'K': 86.69592251005528, 'D': 84.36930602836516, 'J': 91.3491554734355}}
2016/03/14 {'chg': 0.0, 'volume': 175100228, 'rate': -0.013432762414570679, 'vol_chg': 0.3206746742640484, 'relation': (False, False), 'RSI': 78.80121105838812, 'price': {'opening': 3.39, 'closing': 3.4, 'highest': 3.43, 'lowest': 3.37, 'avg': 3.3975000000000004}, 'KDJ': {'RSV': 86.95652173913032, 'K': 86.78278891974696, 'D': 85.17380032549242, 'J': 90.00076610825604}}
