2016/01/04 {'chg': -0.03405572755417953, 'volume': 191312700, 'rate': 0.01212557737752129, 'vol_chg': 0, 'relation': (False, False), 'RSI': 0.0, 'price': {'opening': 3.24, 'closing': 3.12, 'highest': 3.24, 'lowest': 3.11, 'avg': 3.1775}, 'KDJ': {'RSV': 50, 'K': 49.99999999999999, 'D': 49.99999999999999, 'J': 49.999999999999986}}
2016/01/05 {'chg': 0.012820512820512832, 'volume': 321545621, 'rate': 0.014570824669236187, 'vol_chg': 0.6807332759403845, 'relation': (True, False), 'RSI': 27.34970364098226, 'price': {'opening': 3.1, 'closing': 3.16, 'highest': 3.17, 'lowest': 3.08, 'avg': 3.1275}, 'KDJ': {'RSV': 100.0, 'K': 66.66666666666666, 'D': 55.55555555555554, 'J': 88.88888888888889}}
2016/01/06 {'chg': 0.006329113924050638, 'volume': 168419990, 'rate': -0.008817815536055314, 'vol_chg': -0.47621743541019956, 'relation': (False, False), 'RSI': 35.99191659741638, 'price': {'opening': 3.15, 'closing': 3.18, 'highest': 3.19, 'lowest': 3.14, 'avg': 3.165}, 'KDJ': {'RSV': 100.0, 'K': 77.77777777777777, 'D': 62.96296296296295, 'J': 107.40740740740742}}
2016/01/07 {'chg': -0.02201257861635229, 'volume': 67693020, 'rate': 0.025380480672157004, 'vol_chg': -0.598070157823902, 'relation': (False, False), 'RSI': 25.45885801751457, 'price': {'opening': 3.16, 'closing': 3.11, 'highest': 3.17, 'lowest': 3.1, 'avg': 3.135}, 'KDJ': {'RSV': 0.0, 'K': 51.85185185185185, 'D': 59.259259259259245, 'J': 37.03703703703705}}
2016/01/08 {'chg': 0.016077170418006517, 'volume': 269691052, 'rate': 0.0028151921796026394, 'vol_chg': 2.9840304362251824, 'relation': (True, False), 'RSI': 38.58563699089154, 'price': {'opening': 3.14, 'closing': 3.16, 'highest': 3.17, 'lowest': 3.11, 'avg': 3.145}, 'KDJ': {'RSV': 71.42857142857152, 'K': 58.37742504409174, 'D': 58.96531452087007, 'J': 57.20164609053505}}
2016/01/11 {'chg': -0.022151898734177305, 'volume': 286388562, 'rate': 0.013729494164651461, 'vol_chg': 0.061913474237180105, 'relation': (False, True), 'RSI': 31.051324865930727, 'price': {'opening': 3.14, 'closing': 3.09, 'highest': 3.15, 'lowest': 3.09, 'avg': 3.1174999999999997}, 'KDJ': {'RSV': 0.0, 'K': 38.91828336272782, 'D': 52.28297080148931, 'J': 12.188908485204834}}
2016/01/12 {'chg': 0.01294498381877024, 'volume': 176341923, 'rate': 0.011598590088983044, 'vol_chg': -0.3842564040668635, 'relation': (False, False), 'RSI': 38.11300269051096, 'price': {'opening': 3.11, 'closing': 3.13, 'highest': 3.14, 'lowest': 3.09, 'avg': 3.1174999999999997}, 'KDJ': {'RSV': 44.444444444444336, 'K': 40.76033705663332, 'D': 48.44209288653731, 'J': 25.396825396825335}}
2016/01/13 {'chg': -0.0031948881789136702, 'volume': 153620760, 'rate': 0.013096475951511399, 'vol_chg': -0.1288471998799741, 'relation': (False, False), 'RSI': 37.17334902082081, 'price': {'opening': 3.13, 'closing': 3.12, 'highest': 3.15, 'lowest': 3.11, 'avg': 3.1274999999999995}, 'KDJ': {'RSV': 33.3333333333335, 'K': 38.28466914886671, 'D': 45.05628497398044, 'J': 24.741437498639257}}
2016/01/14 {'chg': 0.0, 'volume': 273862605, 'rate': -0.013261978238403877, 'vol_chg': 0.7827187223914268, 'relation': (False, False), 'RSI': 37.17334902082081, 'price': {'opening': 3.09, 'closing': 3.12, 'highest': 3.12, 'lowest': 3.06, 'avg': 3.0975}, 'KDJ': {'RSV': 33.3333333333335, 'K': 36.63422387702231, 'D': 42.24893127499439, 'J': 25.40480908107814}}
2016/01/15 {'chg': -0.01602564102564111, 'volume': 214673803, 'rate': 0.00787284767808161, 'vol_chg': -0.21612590006583776, 'relation': (False, False), 'RSI': 33.08217082258789, 'price': {'opening': 3.11, 'closing': 3.07, 'highest': 3.11, 'lowest': 3.06, 'avg': 3.0875}, 'KDJ': {'RSV': 0.0, 'K': 24.42281591801487, 'D': 36.30689282266788, 'J': 0.6546621087088482}}
2016/01/18 {'chg': 0.0, 'volume': 213964440, 'rate': -0.002962066205531831, 'vol_chg': -0.003304376174860982, 'relation': (False, False), 'RSI': 43.18139850128938, 'price': {'opening': 3.05, 'closing': 3.07, 'highest': 3.11, 'lowest': 3.03, 'avg': 3.065}, 'KDJ': {'RSV': 0.0, 'K': 16.28187727867658, 'D': 29.63188764133745, 'J': -10.41814344664516}}
2016/01/19 {'chg': 0.013029315960912065, 'volume': 143495734, 'rate': -0.008647623088661786, 'vol_chg': -0.32934774582168885, 'relation': (False, False), 'RSI': 43.2875483668623, 'price': {'opening': 3.08, 'closing': 3.11, 'highest': 3.12, 'lowest': 3.06, 'avg': 3.0925}, 'KDJ': {'RSV': 36.36363636363629, 'K': 22.975796973663147, 'D': 27.41319075211268, 'J': 14.101009416764079}}
2016/01/20 {'chg': 0.0, 'volume': 188436819, 'rate': 0.006933927708404058, 'vol_chg': 0.3131876031938343, 'relation': (False, False), 'RSI': 39.88322779059741, 'price': {'opening': 3.1, 'closing': 3.11, 'highest': 3.12, 'lowest': 3.08, 'avg': 3.1025}, 'KDJ': {'RSV': 44.444444444444336, 'K': 30.132012797256877, 'D': 28.319464767160746, 'J': 33.75710885744914}}
2016/01/21 {'chg': -0.006430868167202578, 'volume': 172707114, 'rate': 0.015313390568860635, 'vol_chg': -0.08347468973141603, 'relation': (False, False), 'RSI': 46.799376290841295, 'price': {'opening': 3.08, 'closing': 3.09, 'highest': 3.13, 'lowest': 3.08, 'avg': 3.0949999999999998}, 'KDJ': {'RSV': 22.222222222222168, 'K': 27.495415938911975, 'D': 28.044781824411153, 'J': 26.39668416791362}}
2016/01/22 {'chg': 0.00647249190938512, 'volume': 151552019, 'rate': -0.0019424689017848544, 'vol_chg': -0.12249116153952987, 'relation': (False, False), 'RSI': 40.432094942939344, 'price': {'opening': 3.1, 'closing': 3.11, 'highest': 3.11, 'lowest': 3.07, 'avg': 3.0974999999999997}, 'KDJ': {'RSV': 66.66666666666667, 'K': 40.5524995148302, 'D': 32.214021054550834, 'J': 57.22945643538894}}
2016/01/25 {'chg': -0.0032154340836012176, 'volume': 161366523, 'rate': -0.0082644105703032, 'vol_chg': 0.0647599686547231, 'relation': (False, True), 'RSI': 52.9193840211303, 'price': {'opening': 3.09, 'closing': 3.1, 'highest': 3.1, 'lowest': 3.07, 'avg': 3.09}, 'KDJ': {'RSV': 50.00000000000037, 'K': 43.70166634322025, 'D': 36.04323615077397, 'J': 59.0185267281128}}
2016/01/26 {'chg': -0.04838709677419352, 'volume': 220748676, 'rate': -0.00516785804802454, 'vol_chg': 0.36799549185304065, 'relation': (False, True), 'RSI': 20.155712370553257, 'price': {'opening': 3.08, 'closing': 2.95, 'highest': 3.09, 'lowest': 2.93, 'avg': 3.0125}, 'KDJ': {'RSV': 0.0, 'K': 29.1344442288135, 'D': 33.74030551012048, 'J': 19.92272166619955}}
2016/01/27 {'chg': 0.0, 'volume': 239965022, 'rate': 0.003500623697446709, 'vol_chg': 0.08705078711321466, 'relation': (False, False), 'RSI': 20.843983678704316, 'price': {'opening': 2.95, 'closing': 2.95, 'highest': 2.97, 'lowest': 2.89, 'avg': 2.9400000000000004}, 'KDJ': {'RSV': 0.0, 'K': 19.422962819208998, 'D': 28.967857946483313, 'J': 0.3331725646603658}}
2016/01/28 {'chg': -0.013559322033898317, 'volume': 159022593, 'rate': 0.006098026420994742, 'vol_chg': -0.3373092808501066, 'relation': (False, False), 'RSI': 18.205542316185564, 'price': {'opening': 2.95, 'closing': 2.91, 'highest': 2.96, 'lowest': 2.91, 'avg': 2.9325}, 'KDJ': {'RSV': 0.0, 'K': 12.948641879472664, 'D': 23.628119257479764, 'J': -8.410312876541532}}
2016/01/29 {'chg': 0.027491408934707928, 'volume': 198777082, 'rate': 0.006689625809495756, 'vol_chg': 0.24999271015534252, 'relation': (True, False), 'RSI': 39.627984271574, 'price': {'opening': 2.91, 'closing': 2.99, 'highest': 3.0, 'lowest': 2.91, 'avg': 2.9525}, 'KDJ': {'RSV': 40.00000000000009, 'K': 21.965761252981807, 'D': 23.07399992264711, 'J': 19.749283913651198}}
2016/02/01 {'chg': -0.016722408026755942, 'volume': 100792967, 'rate': -0.004739503831649901, 'vol_chg': -0.49293466839401534, 'relation': (False, False), 'RSI': 34.730464329953854, 'price': {'opening': 2.99, 'closing': 2.94, 'highest': 2.99, 'lowest': 2.92, 'avg': 2.96}, 'KDJ': {'RSV': 14.999999999999922, 'K': 19.64384083532118, 'D': 21.93061356020513, 'J': 15.070295385553273}}
2016/02/02 {'chg': 0.00680272108843538, 'volume': 118978571, 'rate': -0.008411528058159931, 'vol_chg': 0.18042532669962974, 'relation': (True, False), 'RSI': 31.5820180706929, 'price': {'opening': 2.94, 'closing': 2.96, 'highest': 2.97, 'lowest': 2.93, 'avg': 2.95}, 'KDJ': {'RSV': 24.999999999999943, 'K': 21.429227223547432, 'D': 21.763484781319228, 'J': 20.760712108003844}}
