2016/01/04 {'chg': -0.054166666666666745, 'volume': 70997199, 'rate': 0.027283869492677144, 'vol_chg': 0, 'relation': (False, False), 'RSI': 0.0, 'price': {'opening': 35.84, 'closing': 34.05, 'highest': 35.84, 'lowest': 33.9, 'avg': 34.9075}, 'KDJ': {'RSV': 50, 'K': 49.99999999999999, 'D': 49.99999999999999, 'J': 49.999999999999986}}
2016/01/05 {'chg': 0.01321585903083709, 'volume': 87498507, 'rate': 0.01630290559081222, 'vol_chg': 0.23242195794231263, 'relation': (True, False), 'RSI': 19.61318441841468, 'price': {'opening': 33.68, 'closing': 34.5, 'highest': 34.81, 'lowest': 33.5, 'avg': 34.1225}, 'KDJ': {'RSV': 100.0, 'K': 66.66666666666666, 'D': 55.55555555555554, 'J': 88.88888888888889}}
2016/01/06 {'chg': 0.0008695652173913373, 'volume': 48012110, 'rate': -0.02584526078239346, 'vol_chg': -0.4512808087113989, 'relation': (False, False), 'RSI': 20.637351998185387, 'price': {'opening': 34.3, 'closing': 34.53, 'highest': 34.66, 'lowest': 34.0, 'avg': 34.3725}, 'KDJ': {'RSV': 100.0, 'K': 77.77777777777777, 'D': 62.96296296296295, 'J': 107.40740740740742}}
2016/01/07 {'chg': -0.022009846510280855, 'volume': 23647605, 'rate': 0.0615778757290458, 'vol_chg': -0.5074658247679595, 'relation': (False, False), 'RSI': 15.605054190095077, 'price': {'opening': 34.0, 'closing': 33.77, 'highest': 34.52, 'lowest': 33.0, 'avg': 33.822500000000005}, 'KDJ': {'RSV': 0.0, 'K': 51.85185185185185, 'D': 59.259259259259245, 'J': 37.03703703703705}}
2016/01/08 {'chg': 0.005034053893988587, 'volume': 98239660, 'rate': -0.01835626042582299, 'vol_chg': 3.1543175302530635, 'relation': (True, False), 'RSI': 20.063255418774336, 'price': {'opening': 34.0, 'closing': 33.94, 'highest': 34.45, 'lowest': 32.9, 'avg': 33.8225}, 'KDJ': {'RSV': 22.36842105263093, 'K': 42.02404158544488, 'D': 53.51418670132112, 'J': 19.043751353692386}}
2016/01/11 {'chg': -0.05627578078962866, 'volume': 99355700, 'rate': 0.007008673689861557, 'vol_chg': 0.01136038133682466, 'relation': (False, True), 'RSI': 12.614141720592722, 'price': {'opening': 33.0, 'closing': 32.03, 'highest': 33.33, 'lowest': 32.0, 'avg': 32.59}, 'KDJ': {'RSV': 0.0, 'K': 28.016027723629918, 'D': 45.014800375424045, 'J': -5.981517579958336}}
2016/01/12 {'chg': 0.005619731501717131, 'volume': 74380914, 'rate': 0.0032450803017362597, 'vol_chg': -0.2513674202889215, 'relation': (False, False), 'RSI': 15.738261340913843, 'price': {'opening': 32.27, 'closing': 32.21, 'highest': 32.56, 'lowest': 31.82, 'avg': 32.215}, 'KDJ': {'RSV': 7.199999999999989, 'K': 21.07735181575327, 'D': 37.03565085553379, 'J': -10.839246263807766}}
2016/01/13 {'chg': -0.006830176963675952, 'volume': 62533019, 'rate': 0.021903102556092586, 'vol_chg': -0.15928676273055747, 'relation': (False, False), 'RSI': 15.082889991939023, 'price': {'opening': 32.77, 'closing': 31.99, 'highest': 32.78, 'lowest': 31.85, 'avg': 32.347500000000004}, 'KDJ': {'RSV': 0.0, 'K': 14.051567877168846, 'D': 29.37428986274547, 'J': -16.593876093984406}}
2016/01/14 {'chg': 0.0, 'volume': 79722712, 'rate': -0.02339031431981158, 'vol_chg': 0.27488986258603637, 'relation': (False, False), 'RSI': 15.082889991939023, 'price': {'opening': 30.9, 'closing': 31.99, 'highest': 32.06, 'lowest': 30.8, 'avg': 31.4375}, 'KDJ': {'RSV': 0.0, 'K': 9.367711918112564, 'D': 22.705430547867834, 'J': -17.307725341397976}}
2016/01/15 {'chg': -0.024695217255392286, 'volume': 59140260, 'rate': 0.017454841544268174, 'vol_chg': -0.2581755121426376, 'relation': (False, False), 'RSI': 13.109165066010657, 'price': {'opening': 31.64, 'closing': 31.2, 'highest': 31.87, 'lowest': 30.9, 'avg': 31.4025}, 'KDJ': {'RSV': 0.0, 'K': 6.245141278741709, 'D': 17.218667458159125, 'J': -15.701911080093122}}
2016/01/18 {'chg': -0.0041666666666666345, 'volume': 48369367, 'rate': -0.00939089930662455, 'vol_chg': -0.1821245459522836, 'relation': (False, False), 'RSI': 17.834315812286725, 'price': {'opening': 30.73, 'closing': 31.07, 'highest': 31.27, 'lowest': 30.59, 'avg': 30.915}, 'KDJ': {'RSV': 0.0, 'K': 4.163427519161139, 'D': 12.866920811826462, 'J': -13.243559066169507}}
2016/01/19 {'chg': 0.014161570646926337, 'volume': 67392536, 'rate': -0.024070313672765686, 'vol_chg': 0.3932896000065496, 'relation': (True, False), 'RSI': 18.39069265708906, 'price': {'opening': 31.22, 'closing': 31.51, 'highest': 31.68, 'lowest': 30.75, 'avg': 31.290000000000003}, 'KDJ': {'RSV': 12.71676300578038, 'K': 7.014539348034219, 'D': 10.916126990562379, 'J': -0.7886359370221001}}
2016/01/20 {'chg': -0.031101237702316736, 'volume': 100704268, 'rate': -0.018871784022415253, 'vol_chg': 0.49429408621750043, 'relation': (False, True), 'RSI': 14.606351526751123, 'price': {'opening': 31.22, 'closing': 30.53, 'highest': 31.45, 'lowest': 30.29, 'avg': 30.872500000000002}, 'KDJ': {'RSV': 0.0, 'K': 4.676359565356146, 'D': 8.836204515493634, 'J': -3.643330334918831}}
2016/01/21 {'chg': -0.012446773665247381, 'volume': 68190102, 'rate': 0.025903843214443688, 'vol_chg': -0.3228678053645154, 'relation': (False, False), 'RSI': 15.477558102483654, 'price': {'opening': 30.37, 'closing': 30.15, 'highest': 30.81, 'lowest': 29.87, 'avg': 30.299999999999997}, 'KDJ': {'RSV': 0.0, 'K': 3.1175730435707636, 'D': 6.929994024852677, 'J': -4.507268918993063}}
2016/01/22 {'chg': 0.0023217247097844207, 'volume': 49310407, 'rate': -0.012519845290096024, 'vol_chg': -0.27686855491138584, 'relation': (False, False), 'RSI': 14.023083321148382, 'price': {'opening': 30.37, 'closing': 30.22, 'highest': 30.49, 'lowest': 29.68, 'avg': 30.189999999999998}, 'KDJ': {'RSV': 3.3980582524271945, 'K': 3.2110681131895737, 'D': 5.690352054298309, 'J': -1.7474997690278968}}
2016/01/25 {'chg': 0.001323626737260182, 'volume': 37474472, 'rate': -0.007581315262668084, 'vol_chg': -0.240029148410801, 'relation': (False, False), 'RSI': 22.818155933156408, 'price': {'opening': 30.29, 'closing': 30.26, 'highest': 30.36, 'lowest': 29.89, 'avg': 30.2}, 'KDJ': {'RSV': 5.339805825242857, 'K': 3.920647350540668, 'D': 5.100450486379095, 'J': 1.5610410788638145}}
2016/01/26 {'chg': -0.034038334434897594, 'volume': 76680981, 'rate': 0.04218796908448835, 'vol_chg': 1.0462191168430606, 'relation': (False, True), 'RSI': 13.584222017371436, 'price': {'opening': 29.91, 'closing': 29.23, 'highest': 30.1, 'lowest': 28.98, 'avg': 29.555000000000003}, 'KDJ': {'RSV': 0.0, 'K': 2.613764900360445, 'D': 4.271555291039545, 'J': -0.7018158809977546}}
2016/01/27 {'chg': -0.00034211426616495257, 'volume': 70385326, 'rate': 0.005831978853785312, 'vol_chg': -0.08210190998991002, 'relation': (False, False), 'RSI': 14.291583317624466, 'price': {'opening': 29.35, 'closing': 29.22, 'highest': 29.48, 'lowest': 28.8, 'avg': 29.2125}, 'KDJ': {'RSV': 0.0, 'K': 1.74250993357363, 'D': 3.4285401718842397, 'J': -1.6295505430475892}}
2016/01/28 {'chg': 0.0027378507871321646, 'volume': 48441759, 'rate': 0.03740775830685288, 'vol_chg': -0.31176337806547916, 'relation': (False, False), 'RSI': 16.134412396062935, 'price': {'opening': 29.2, 'closing': 29.3, 'highest': 29.61, 'lowest': 28.77, 'avg': 29.22}, 'KDJ': {'RSV': 3.493449781659465, 'K': 2.3261565496022416, 'D': 3.0610789644569065, 'J': 0.8563117198929113}}
2016/01/29 {'chg': 0.03003412969283273, 'volume': 64439144, 'rate': -0.006654231346871722, 'vol_chg': 0.3302395563299012, 'relation': (True, False), 'RSI': 38.12268522880946, 'price': {'opening': 29.2, 'closing': 30.18, 'highest': 30.38, 'lowest': 29.12, 'avg': 29.72}, 'KDJ': {'RSV': 41.921397379912655, 'K': 15.524570159705712, 'D': 7.215576029539841, 'J': 32.14255842003746}}
2016/02/01 {'chg': -0.021537442014579144, 'volume': 34048457, 'rate': -0.00040304633474939205, 'vol_chg': -0.4716184156636221, 'relation': (False, False), 'RSI': 33.709199521776604, 'price': {'opening': 30.16, 'closing': 29.53, 'highest': 30.16, 'lowest': 29.31, 'avg': 29.79}, 'KDJ': {'RSV': 13.537117903930215, 'K': 14.862086074447213, 'D': 9.76441271117563, 'J': 25.057432800990377}}
2016/02/02 {'chg': 0.014900101591601683, 'volume': 37513430, 'rate': -0.011933456968182158, 'vol_chg': 0.10176593318164168, 'relation': (True, False), 'RSI': 34.03388929803778, 'price': {'opening': 29.53, 'closing': 29.97, 'highest': 30.1, 'lowest': 29.5, 'avg': 29.775}, 'KDJ': {'RSV': 57.25190839694647, 'K': 28.992026848613627, 'D': 16.17361742365496, 'J': 54.62884569853097}}
2016/02/03 {'chg': -0.011011011011010954, 'volume': 39035211, 'rate': -0.006499173731047299, 'vol_chg': 0.040566298522955645, 'relation': (False, True), 'RSI': 39.26560011189992, 'price': {'opening': 29.5, 'closing': 29.64, 'highest': 29.8, 'lowest': 29.1, 'avg': 29.51}, 'KDJ': {'RSV': 40.384615384615444, 'K': 32.78955636061423, 'D': 21.712263735974716, 'J': 54.94414160989325}}
2016/02/04 {'chg': 0.002361673414305003, 'volume': 36657042, 'rate': -0.015804408265548662, 'vol_chg': -0.060923687590672945, 'relation': (False, False), 'RSI': 44.50708334338905, 'price': {'opening': 29.77, 'closing': 29.71, 'highest': 30.06, 'lowest': 29.49, 'avg': 29.7575}, 'KDJ': {'RSV': 47.115384615384684, 'K': 37.56483244553771, 'D': 26.996453305829046, 'J': 58.70159072495503}}
2016/02/05 {'chg': -0.0016829350387075298, 'volume': 33330201, 'rate': 0.005797216241232214, 'vol_chg': -0.09075584985826189, 'relation': (False, False), 'RSI': 42.808799337151825, 'price': {'opening': 29.7, 'closing': 29.66, 'highest': 30.0, 'lowest': 29.61, 'avg': 29.7425}, 'KDJ': {'RSV': 42.30769230769232, 'K': 39.145785732922576, 'D': 31.046230781526887, 'J': 55.344895635713954}}
2016/02/15 {'chg': -0.007754551584625773, 'volume': 43993725, 'rate': -0.0002744003046860292, 'vol_chg': 0.31993578436565684, 'relation': (False, True), 'RSI': 39.58362227090905, 'price': {'opening': 28.7, 'closing': 29.43, 'highest': 29.79, 'lowest': 28.62, 'avg': 29.134999999999998}, 'KDJ': {'RSV': 21.87500000000007, 'K': 33.38885715528174, 'D': 31.827106239445172, 'J': 36.51235898695488}}
2016/02/16 {'chg': 0.023445463812436333, 'volume': 39757869, 'rate': -0.015617548427248995, 'vol_chg': -0.09628318584070797, 'relation': (False, False), 'RSI': 63.449572085950855, 'price': {'opening': 29.55, 'closing': 30.12, 'highest': 30.32, 'lowest': 29.46, 'avg': 29.862500000000004}, 'KDJ': {'RSV': 93.75000000000014, 'K': 53.509238103521206, 'D': 39.054483527470516, 'J': 82.41874725562259}}
2016/02/17 {'chg': -0.0026560424966800083, 'volume': 46163466, 'rate': -0.015479158976576713, 'vol_chg': 0.16111519960991874, 'relation': (False, True), 'RSI': 62.206630477932265, 'price': {'opening': 30.13, 'closing': 30.04, 'highest': 30.33, 'lowest': 29.92, 'avg': 30.104999999999997}, 'KDJ': {'RSV': 84.09090909090901, 'K': 63.70312843265047, 'D': 47.27069849586383, 'J': 96.56798830622374}}
2016/02/18 {'chg': -0.004327563249001298, 'volume': 48458572, 'rate': -0.0024278422890166014, 'vol_chg': 0.04971693416607843, 'relation': (False, True), 'RSI': 59.093499667752404, 'price': {'opening': 30.28, 'closing': 29.91, 'highest': 30.49, 'lowest': 29.8, 'avg': 30.119999999999997}, 'KDJ': {'RSV': 64.00000000000006, 'K': 63.802085621767, 'D': 52.781160871164886, 'J': 85.84393512297123}}
