2016/01/04 {'chg': -0.04245283018867939, 'volume': 144956255, 'rate': 0.023853095273639602, 'vol_chg': 0, 'relation': (False, False), 'RSI': 0.0, 'price': {'opening': 4.24, 'closing': 4.06, 'highest': 4.24, 'lowest': 4.05, 'avg': 4.1475}, 'KDJ': {'RSV': 50, 'K': 49.99999999999999, 'D': 49.99999999999999, 'J': 49.999999999999986}}
2016/01/05 {'chg': 0.004926108374384351, 'volume': 148133267, 'rate': 0.007439160942927053, 'vol_chg': 0.021917039730365552, 'relation': (True, False), 'RSI': 10.397253555664728, 'price': {'opening': 4.0, 'closing': 4.08, 'highest': 4.12, 'lowest': 3.96, 'avg': 4.040000000000001}, 'KDJ': {'RSV': 100.0, 'K': 66.66666666666666, 'D': 55.55555555555554, 'J': 88.88888888888889}}
2016/01/06 {'chg': 0.01225490196078427, 'volume': 108312642, 'rate': -0.009492668343912186, 'vol_chg': -0.26881622073453626, 'relation': (False, False), 'RSI': 28.810839926195612, 'price': {'opening': 4.07, 'closing': 4.13, 'highest': 4.14, 'lowest': 4.06, 'avg': 4.1}, 'KDJ': {'RSV': 100.0, 'K': 77.77777777777777, 'D': 62.96296296296295, 'J': 107.40740740740742}}
2016/01/07 {'chg': -0.041162227602905554, 'volume': 36941866, 'rate': 0.02688350348378915, 'vol_chg': -0.6589330172557327, 'relation': (False, False), 'RSI': 17.045317991534226, 'price': {'opening': 4.1, 'closing': 3.96, 'highest': 4.1, 'lowest': 3.95, 'avg': 4.0275}, 'KDJ': {'RSV': 0.0, 'K': 51.85185185185185, 'D': 59.259259259259245, 'J': 37.03703703703705}}
2016/01/08 {'chg': 0.01767676767676775, 'volume': 153969285, 'rate': -0.0013644383233442602, 'vol_chg': 3.1678805558982863, 'relation': (True, False), 'RSI': 29.422591073742417, 'price': {'opening': 4.03, 'closing': 4.03, 'highest': 4.09, 'lowest': 3.96, 'avg': 4.027500000000001}, 'KDJ': {'RSV': 41.17647058823548, 'K': 48.293391430646395, 'D': 55.60396998305496, 'J': 33.67223432582925}}
2016/01/11 {'chg': -0.04218362282878421, 'volume': 139294775, 'rate': 0.009333954826341175, 'vol_chg': -0.09530803497593693, 'relation': (False, False), 'RSI': 21.697090990730338, 'price': {'opening': 4.01, 'closing': 3.86, 'highest': 4.01, 'lowest': 3.86, 'avg': 3.9349999999999996}, 'KDJ': {'RSV': 0.0, 'K': 32.19559428709759, 'D': 47.801178084402494, 'J': 0.9844266924877871}}
2016/01/12 {'chg': 0.005181347150259072, 'volume': 92301196, 'rate': 0.003248229789841609, 'vol_chg': -0.33736785173743955, 'relation': (False, False), 'RSI': 24.143544937329953, 'price': {'opening': 3.91, 'closing': 3.88, 'highest': 3.94, 'lowest': 3.83, 'avg': 3.8899999999999997}, 'KDJ': {'RSV': 7.407407407407414, 'K': 23.932865327200865, 'D': 39.84507383200195, 'J': -7.8915516824013}}
2016/01/13 {'chg': -0.012886597938144284, 'volume': 79666191, 'rate': 0.010504122122907016, 'vol_chg': -0.13688885461462494, 'relation': (False, False), 'RSI': 22.402718559220517, 'price': {'opening': 3.91, 'closing': 3.83, 'highest': 3.92, 'lowest': 3.82, 'avg': 3.87}, 'KDJ': {'RSV': 0.0, 'K': 15.955243551467243, 'D': 31.881797071823716, 'J': -15.897863489245701}}
2016/01/14 {'chg': 0.0, 'volume': 127458288, 'rate': -0.01904120600011201, 'vol_chg': 0.5999043810190449, 'relation': (False, False), 'RSI': 22.402718559220517, 'price': {'opening': 3.78, 'closing': 3.83, 'highest': 3.85, 'lowest': 3.74, 'avg': 3.8000000000000003}, 'KDJ': {'RSV': 0.0, 'K': 10.636829034311495, 'D': 24.800141059319643, 'J': -17.689795015704803}}
2016/01/15 {'chg': -0.03394255874673626, 'volume': 102625573, 'rate': 0.0003702744006737063, 'vol_chg': -0.19483013140738248, 'relation': (False, False), 'RSI': 18.8271486542366, 'price': {'opening': 3.81, 'closing': 3.7, 'highest': 3.84, 'lowest': 3.67, 'avg': 3.755}, 'KDJ': {'RSV': 0.0, 'K': 7.091219356207663, 'D': 18.897167158282315, 'J': -16.52067624794164}}
2016/01/18 {'chg': -0.008108108108108174, 'volume': 89243919, 'rate': -0.012360966301026594, 'vol_chg': -0.13039297719682402, 'relation': (False, False), 'RSI': 22.453242554226385, 'price': {'opening': 3.62, 'closing': 3.67, 'highest': 3.72, 'lowest': 3.61, 'avg': 3.655}, 'KDJ': {'RSV': 0.0, 'K': 4.727479570805109, 'D': 14.173937962456579, 'J': -14.165437212497832}}
2016/01/19 {'chg': 0.019073569482288905, 'volume': 108384905, 'rate': -0.012049620020432247, 'vol_chg': 0.21447944257131962, 'relation': (True, False), 'RSI': 28.153307169528716, 'price': {'opening': 3.67, 'closing': 3.74, 'highest': 3.77, 'lowest': 3.64, 'avg': 3.705}, 'KDJ': {'RSV': 15.217391304347888, 'K': 8.224116815319368, 'D': 12.190664246744173, 'J': 0.29102195246975526}}
2016/01/20 {'chg': -0.013368983957219322, 'volume': 101342954, 'rate': -0.003413429551069387, 'vol_chg': -0.06497169508982824, 'relation': (False, False), 'RSI': 21.66074221357438, 'price': {'opening': 3.72, 'closing': 3.69, 'highest': 3.75, 'lowest': 3.66, 'avg': 3.705}, 'KDJ': {'RSV': 5.555555555555555, 'K': 7.334596395398096, 'D': 10.571974962962146, 'J': 0.8598392602699967}}
2016/01/21 {'chg': -0.002710027100270945, 'volume': 131900889, 'rate': 0.028509818270471086, 'vol_chg': 0.30152994158824303, 'relation': (False, True), 'RSI': 27.029753388388237, 'price': {'opening': 3.66, 'closing': 3.68, 'highest': 3.83, 'lowest': 3.66, 'avg': 3.7075}, 'KDJ': {'RSV': 2.7777777777778394, 'K': 5.815656856191344, 'D': 8.986535594038546, 'J': -0.5261006195030618}}
2016/01/22 {'chg': 0.008152173913043424, 'volume': 77635867, 'rate': -0.00392980958956572, 'vol_chg': -0.4114075531363553, 'relation': (False, False), 'RSI': 22.256548753677293, 'price': {'opening': 3.71, 'closing': 3.71, 'highest': 3.73, 'lowest': 3.66, 'avg': 3.7024999999999997}, 'KDJ': {'RSV': 19.04761904761907, 'K': 10.226310920000586, 'D': 9.399794036025892, 'J': 11.879344687949974}}
2016/01/25 {'chg': 0.0, 'volume': 64617100, 'rate': -0.007249190101565486, 'vol_chg': -0.1676901090059315, 'relation': (False, False), 'RSI': 31.334399251214787, 'price': {'opening': 3.71, 'closing': 3.71, 'highest': 3.73, 'lowest': 3.68, 'avg': 3.7074999999999996}, 'KDJ': {'RSV': 19.04761904761907, 'K': 13.16674696254008, 'D': 10.65544501153062, 'J': 18.189350864558996}}
