2016/01/04 {'chg': -0.057453416149068334, 'volume': 78425668, 'rate': 0.007848606276341263, 'vol_chg': 0, 'relation': (False, False), 'RSI': 0.0, 'price': {'opening': 6.43, 'closing': 6.07, 'highest': 6.44, 'lowest': 6.06, 'avg': 6.25}, 'KDJ': {'RSV': 50, 'K': 49.99999999999999, 'D': 49.99999999999999, 'J': 49.999999999999986}}
2016/01/05 {'chg': 0.014827018121911013, 'volume': 118130204, 'rate': 0.017302021887305546, 'vol_chg': 0.506269656510927, 'relation': (True, False), 'RSI': 20.5131835073438, 'price': {'opening': 6.07, 'closing': 6.16, 'highest': 6.23, 'lowest': 6.01, 'avg': 6.117500000000001}, 'KDJ': {'RSV': 100.0, 'K': 66.66666666666666, 'D': 55.55555555555554, 'J': 88.88888888888889}}
2016/01/06 {'chg': 0.008116883116883088, 'volume': 113592072, 'rate': -0.013301418699031134, 'vol_chg': -0.03841635624365806, 'relation': (False, False), 'RSI': 28.538142794125044, 'price': {'opening': 6.14, 'closing': 6.21, 'highest': 6.21, 'lowest': 6.1, 'avg': 6.165}, 'KDJ': {'RSV': 100.0, 'K': 77.77777777777777, 'D': 62.96296296296295, 'J': 107.40740740740742}}
2016/01/07 {'chg': -0.04347826086956515, 'volume': 23371546, 'rate': 0.02353722570111759, 'vol_chg': -0.7942502008414812, 'relation': (False, False), 'RSI': 18.521730886385093, 'price': {'opening': 6.16, 'closing': 5.94, 'highest': 6.17, 'lowest': 5.9, 'avg': 6.0425}, 'KDJ': {'RSV': 0.0, 'K': 51.85185185185185, 'D': 59.259259259259245, 'J': 37.03703703703705}}
2016/01/08 {'chg': 0.015151515151515126, 'volume': 140670847, 'rate': -0.0036013979939742164, 'vol_chg': 5.018893529764783, 'relation': (True, False), 'RSI': 27.401433386982397, 'price': {'opening': 6.06, 'closing': 6.03, 'highest': 6.12, 'lowest': 5.94, 'avg': 6.0375000000000005}, 'KDJ': {'RSV': 33.333333333333336, 'K': 45.67901234567901, 'D': 54.73251028806583, 'J': 27.572016460905374}}
2016/01/11 {'chg': -0.03814262023217254, 'volume': 148067125, 'rate': 0.01259495695841538, 'vol_chg': 0.052578612823735965, 'relation': (False, True), 'RSI': 21.502217059218943, 'price': {'opening': 5.95, 'closing': 5.8, 'highest': 6.0, 'lowest': 5.76, 'avg': 5.8775}, 'KDJ': {'RSV': 0.0, 'K': 30.45267489711934, 'D': 46.639231824416996, 'J': -1.920438957475966}}
2016/01/12 {'chg': 0.001724137931034446, 'volume': 84113738, 'rate': -0.00017971111926904054, 'vol_chg': -0.4319215828631778, 'relation': (False, False), 'RSI': 22.258760696023163, 'price': {'opening': 5.86, 'closing': 5.81, 'highest': 5.9, 'lowest': 5.77, 'avg': 5.835}, 'KDJ': {'RSV': 2.4390243902438495, 'K': 21.11479139482751, 'D': 38.13108501455383, 'J': -12.917795844625132}}
2016/01/13 {'chg': -0.01032702237521508, 'volume': 74893802, 'rate': 0.01270955113345711, 'vol_chg': -0.10961272461818306, 'relation': (False, False), 'RSI': 21.043954343229704, 'price': {'opening': 5.86, 'closing': 5.75, 'highest': 5.87, 'lowest': 5.74, 'avg': 5.805}, 'KDJ': {'RSV': 0.0, 'K': 14.076527596551673, 'D': 30.112899208553113, 'J': -17.996215627451207}}
2016/01/14 {'chg': 0.0017391304347825717, 'volume': 106332587, 'rate': -0.01701378271070677, 'vol_chg': 0.419778194729652, 'relation': (True, False), 'RSI': 21.763030897799627, 'price': {'opening': 5.68, 'closing': 5.76, 'highest': 5.77, 'lowest': 5.62, 'avg': 5.7075}, 'KDJ': {'RSV': 2.1739130434782146, 'K': 10.108989412193853, 'D': 23.444929276433356, 'J': -16.562890316285152}}
2016/01/15 {'chg': -0.03472222222222225, 'volume': 79410195, 'rate': -0.0009289015793353672, 'vol_chg': -0.25319041659355096, 'relation': (False, False), 'RSI': 18.414691037668803, 'price': {'opening': 5.71, 'closing': 5.56, 'highest': 5.76, 'lowest': 5.53, 'avg': 5.64}, 'KDJ': {'RSV': 0.0, 'K': 6.739326274795902, 'D': 17.876394942554203, 'J': -15.534811060720699}}
2016/01/18 {'chg': -0.007194244604316554, 'volume': 80170429, 'rate': -0.011382712514984225, 'vol_chg': 0.009573506273344374, 'relation': (False, True), 'RSI': 23.69054896575736, 'price': {'opening': 5.49, 'closing': 5.52, 'highest': 5.58, 'lowest': 5.46, 'avg': 5.5125}, 'KDJ': {'RSV': 0.0, 'K': 4.492884183197267, 'D': 13.415224689435224, 'J': -13.351796829278646}}
2016/01/19 {'chg': 0.01992753623188412, 'volume': 88824200, 'rate': -0.010724433478002015, 'vol_chg': 0.10794218152431241, 'relation': (True, False), 'RSI': 25.84659833996631, 'price': {'opening': 5.53, 'closing': 5.63, 'highest': 5.65, 'lowest': 5.5, 'avg': 5.5775}, 'KDJ': {'RSV': 15.942028985507283, 'K': 8.309265783967273, 'D': 11.713238387612574, 'J': 1.5013205766766724}}
2016/01/20 {'chg': -0.014209591474245128, 'volume': 83947093, 'rate': -0.004404768865182172, 'vol_chg': -0.054907412619533864, 'relation': (False, False), 'RSI': 20.653246026472562, 'price': {'opening': 5.6, 'closing': 5.55, 'highest': 5.61, 'lowest': 5.47, 'avg': 5.5575}, 'KDJ': {'RSV': 5.882352941176512, 'K': 7.500294836370352, 'D': 10.308923870531833, 'J': 1.8830367680473898}}
2016/01/21 {'chg': -0.012612612612612505, 'volume': 119212681, 'rate': 0.018134549549788808, 'vol_chg': 0.4200930221609937, 'relation': (False, True), 'RSI': 24.746172095750982, 'price': {'opening': 5.5, 'closing': 5.48, 'highest': 5.69, 'lowest': 5.46, 'avg': 5.532500000000001}, 'KDJ': {'RSV': 0.0, 'K': 5.000196557580234, 'D': 8.539348099547967, 'J': -2.0781065263552314}}
2016/01/22 {'chg': 0.007299270072992544, 'volume': 66571467, 'rate': -0.004599786491404247, 'vol_chg': -0.4415739463153253, 'relation': (False, False), 'RSI': 20.750783727920382, 'price': {'opening': 5.52, 'closing': 5.52, 'highest': 5.55, 'lowest': 5.46, 'avg': 5.5125}, 'KDJ': {'RSV': 12.121212121211894, 'K': 7.3738684121241205, 'D': 8.150854870406684, 'J': 5.819895495558992}}
2016/01/25 {'chg': 0.0, 'volume': 53996737, 'rate': -0.007139433938638074, 'vol_chg': -0.1888906849536604, 'relation': (False, False), 'RSI': 27.962152004688104, 'price': {'opening': 5.52, 'closing': 5.52, 'highest': 5.54, 'lowest': 5.48, 'avg': 5.515}, 'KDJ': {'RSV': 12.121212121211894, 'K': 8.956316315153376, 'D': 8.41934201865558, 'J': 10.030264908148968}}
2016/01/26 {'chg': -0.05253623188405782, 'volume': 102330291, 'rate': 0.008577322630684094, 'vol_chg': 0.8951199032637842, 'relation': (False, True), 'RSI': 18.039685149120864, 'price': {'opening': 5.49, 'closing': 5.23, 'highest': 5.49, 'lowest': 5.18, 'avg': 5.3475}, 'KDJ': {'RSV': 0.0, 'K': 5.970877543435584, 'D': 7.603187193582247, 'J': 2.7062582431422584}}
2016/01/27 {'chg': 0.003824091778202595, 'volume': 111911199, 'rate': 0.008774099308991659, 'vol_chg': 0.09362729164915597, 'relation': (True, False), 'RSI': 21.28325261168767, 'price': {'opening': 5.28, 'closing': 5.25, 'highest': 5.29, 'lowest': 5.14, 'avg': 5.24}, 'KDJ': {'RSV': 3.7735849056603015, 'K': 5.2384466641771565, 'D': 6.814940350447216, 'J': 2.0854592916370365}}
2016/01/28 {'chg': -0.005714285714285762, 'volume': 73116703, 'rate': 0.022081910420145144, 'vol_chg': -0.3466542789877535, 'relation': (False, False), 'RSI': 19.647482326865, 'price': {'opening': 5.23, 'closing': 5.22, 'highest': 5.27, 'lowest': 5.16, 'avg': 5.22}, 'KDJ': {'RSV': 0.0, 'K': 3.492297776118104, 'D': 5.707392825670845, 'J': -0.937892322987377}}
2016/01/29 {'chg': 0.024904214559386954, 'volume': 101623242, 'rate': -0.004510253267801911, 'vol_chg': 0.389877248704718, 'relation': (True, False), 'RSI': 37.750862115584574, 'price': {'opening': 5.23, 'closing': 5.35, 'highest': 5.39, 'lowest': 5.2, 'avg': 5.2925}, 'KDJ': {'RSV': 31.707317073170696, 'K': 12.897304208468967, 'D': 8.104029953270219, 'J': 22.483852718866462}}
2016/02/01 {'chg': -0.028037383177569996, 'volume': 71674385, 'rate': -0.011093126629868964, 'vol_chg': -0.2947047979437617, 'relation': (False, False), 'RSI': 33.09676198815572, 'price': {'opening': 5.35, 'closing': 5.2, 'highest': 5.35, 'lowest': 5.13, 'avg': 5.257499999999999}, 'KDJ': {'RSV': 0.0, 'K': 8.598202805645977, 'D': 8.268754237395472, 'J': 9.25709994214699}}
2016/02/02 {'chg': 0.009615384615384581, 'volume': 63142662, 'rate': -0.011898109653044817, 'vol_chg': -0.11903447793796905, 'relation': (False, False), 'RSI': 28.75091625503192, 'price': {'opening': 5.21, 'closing': 5.25, 'highest': 5.28, 'lowest': 5.19, 'avg': 5.2325}, 'KDJ': {'RSV': 14.28571428571425, 'K': 10.494039965668733, 'D': 9.010516146819892, 'J': 13.461087603366416}}
2016/02/03 {'chg': -0.015238095238095252, 'volume': 64302088, 'rate': -0.011620782042518627, 'vol_chg': 0.018362006973985354, 'relation': (False, True), 'RSI': 28.56584844247547, 'price': {'opening': 5.2, 'closing': 5.17, 'highest': 5.22, 'lowest': 5.14, 'avg': 5.182499999999999}, 'KDJ': {'RSV': 0.0, 'K': 6.996026643779155, 'D': 8.339019645806312, 'J': 4.310040639724843}}
2016/02/04 {'chg': 0.00773694390715668, 'volume': 61605763, 'rate': -0.006827501327664993, 'vol_chg': -0.041932153120750916, 'relation': (False, False), 'RSI': 34.459568426215974, 'price': {'opening': 5.19, 'closing': 5.21, 'highest': 5.24, 'lowest': 5.18, 'avg': 5.205}, 'KDJ': {'RSV': 11.42857142857145, 'K': 8.473541572043253, 'D': 8.383860287885291, 'J': 8.652904140359176}}
2016/02/05 {'chg': -0.0019193857965450647, 'volume': 42955369, 'rate': 0.004077738711910918, 'vol_chg': -0.3027378136685037, 'relation': (False, False), 'RSI': 30.81780407594121, 'price': {'opening': 5.2, 'closing': 5.2, 'highest': 5.22, 'lowest': 5.19, 'avg': 5.2025}, 'KDJ': {'RSV': 8.571428571428651, 'K': 8.506170571838386, 'D': 8.424630382536321, 'J': 8.669250950442514}}
2016/02/15 {'chg': -0.009615384615384581, 'volume': 46311692, 'rate': -0.0036182601069285987, 'vol_chg': 0.07813512206122591, 'relation': (False, True), 'RSI': 28.955780512009703, 'price': {'opening': 5.08, 'closing': 5.15, 'highest': 5.17, 'lowest': 5.06, 'avg': 5.115}, 'KDJ': {'RSV': 0.0, 'K': 5.67078038122559, 'D': 7.506680382099411, 'J': 1.998980379477949}}
2016/02/16 {'chg': 0.02524271844660192, 'volume': 78025296, 'rate': -0.006075598430890436, 'vol_chg': 0.6847861226922998, 'relation': (True, False), 'RSI': 54.09518079548275, 'price': {'opening': 5.16, 'closing': 5.28, 'highest': 5.29, 'lowest': 5.16, 'avg': 5.2225}, 'KDJ': {'RSV': 65.00000000000018, 'K': 25.44718692081712, 'D': 13.486849228338645, 'J': 49.367862305774075}}
2016/02/17 {'chg': 0.0, 'volume': 73955376, 'rate': -0.010280784871638828, 'vol_chg': -0.05216154514812735, 'relation': (False, False), 'RSI': 52.72399631972072, 'price': {'opening': 5.27, 'closing': 5.28, 'highest': 5.31, 'lowest': 5.24, 'avg': 5.2749999999999995}, 'KDJ': {'RSV': 65.00000000000018, 'K': 38.63145794721147, 'D': 21.86838546796292, 'J': 72.15760290570859}}
2016/02/18 {'chg': -0.0018939393939395217, 'volume': 67058759, 'rate': -0.0003708601536967324, 'vol_chg': -0.09325376156562303, 'relation': (False, False), 'RSI': 54.345722010426734, 'price': {'opening': 5.29, 'closing': 5.27, 'highest': 5.33, 'lowest': 5.26, 'avg': 5.2875}, 'KDJ': {'RSV': 59.99999999999982, 'K': 45.75430529814092, 'D': 29.83035874468892, 'J': 77.6021984050449}}
2016/02/19 {'chg': 0.0018975332068312477, 'volume': 60055621, 'rate': 0.0028494577319829913, 'vol_chg': -0.10443286014284875, 'relation': (False, False), 'RSI': 43.966404145638414, 'price': {'opening': 5.27, 'closing': 5.28, 'highest': 5.3, 'lowest': 5.23, 'avg': 5.2700000000000005}, 'KDJ': {'RSV': 100.0, 'K': 63.83620353209394, 'D': 41.16564034049059, 'J': 109.17732991530063}}
2016/02/22 {'chg': 0.020833333333333225, 'volume': 106256118, 'rate': -0.0015368930077327425, 'vol_chg': 0.7692951339226015, 'relation': (True, False), 'RSI': 69.50103637260264, 'price': {'opening': 5.3, 'closing': 5.39, 'highest': 5.4, 'lowest': 5.28, 'avg': 5.3425}, 'KDJ': {'RSV': 100.0, 'K': 75.89080235472929, 'D': 52.74069434523682, 'J': 122.19101837371423}}
2016/02/23 {'chg': -0.012987012987012875, 'volume': 64921563, 'rate': -0.005276424333283753, 'vol_chg': -0.3890087063033867, 'relation': (False, False), 'RSI': 57.21861302771747, 'price': {'opening': 5.37, 'closing': 5.32, 'highest': 5.38, 'lowest': 5.28, 'avg': 5.3375}, 'KDJ': {'RSV': 70.8333333333335, 'K': 74.20497934759734, 'D': 59.89545601269032, 'J': 102.8240260174114}}
2016/02/24 {'chg': 0.0, 'volume': 59727172, 'rate': -0.008376935821335342, 'vol_chg': -0.08001025791692662, 'relation': (False, False), 'RSI': 67.83522655627769, 'price': {'opening': 5.3, 'closing': 5.32, 'highest': 5.34, 'lowest': 5.27, 'avg': 5.3075}, 'KDJ': {'RSV': 70.8333333333335, 'K': 73.08109734284272, 'D': 64.29066978940779, 'J': 90.6619524497126}}
2016/02/25 {'chg': -0.04511278195488726, 'volume': 116881342, 'rate': 0.015905580107339494, 'vol_chg': 0.9569207462225066, 'relation': (False, True), 'RSI': 40.144557382499215, 'price': {'opening': 5.32, 'closing': 5.08, 'highest': 5.33, 'lowest': 5.03, 'avg': 5.1899999999999995}, 'KDJ': {'RSV': 0.0, 'K': 48.72073156189515, 'D': 59.100690380236905, 'J': 27.96081392521164}}
