2016/01/04 {'chg': -0.06327800829875531, 'volume': 83867659, 'rate': 0.0059050338702910515, 'vol_chg': 0, 'relation': (False, False), 'RSI': 0.0, 'price': {'opening': 9.48, 'closing': 9.03, 'highest': 9.55, 'lowest': 9.01, 'avg': 9.2675}, 'KDJ': {'RSV': 50, 'K': 49.99999999999999, 'D': 49.99999999999999, 'J': 49.999999999999986}}
2016/01/05 {'chg': 0.00996677740863786, 'volume': 109490659, 'rate': 0.012588875216794134, 'vol_chg': 0.30551705276523816, 'relation': (True, False), 'RSI': 13.60749070719424, 'price': {'opening': 8.95, 'closing': 9.12, 'highest': 9.28, 'lowest': 8.9, 'avg': 9.062499999999998}, 'KDJ': {'RSV': 100.0, 'K': 66.66666666666666, 'D': 55.55555555555554, 'J': 88.88888888888889}}
2016/01/06 {'chg': 0.0032894736842106515, 'volume': 80981564, 'rate': -0.019401757347910963, 'vol_chg': -0.26037924385860167, 'relation': (False, False), 'RSI': 17.32067599298254, 'price': {'opening': 9.12, 'closing': 9.15, 'highest': 9.19, 'lowest': 9.02, 'avg': 9.12}, 'KDJ': {'RSV': 100.0, 'K': 77.77777777777777, 'D': 62.96296296296295, 'J': 107.40740740740742}}
2016/01/07 {'chg': -0.06010928961748641, 'volume': 24964020, 'rate': 0.010889051034129675, 'vol_chg': -0.6917320589165208, 'relation': (False, False), 'RSI': 9.701336937586886, 'price': {'opening': 9.03, 'closing': 8.6, 'highest': 9.08, 'lowest': 8.54, 'avg': 8.8125}, 'KDJ': {'RSV': 0.0, 'K': 51.85185185185185, 'D': 59.259259259259245, 'J': 37.03703703703705}}
2016/01/08 {'chg': 0.011627906976744146, 'volume': 109799852, 'rate': -0.008239526415824558, 'vol_chg': 3.3983241481139657, 'relation': (True, False), 'RSI': 16.782837872698874, 'price': {'opening': 8.88, 'closing': 8.7, 'highest': 8.93, 'lowest': 8.55, 'avg': 8.765}, 'KDJ': {'RSV': 18.181818181818095, 'K': 40.62850729517393, 'D': 53.049008604564136, 'J': 15.787504676393525}}
2016/01/11 {'chg': -0.027586206896551547, 'volume': 129894402, 'rate': 0.026166798170652105, 'vol_chg': 0.18301072026945903, 'relation': (False, True), 'RSI': 14.150169894066682, 'price': {'opening': 8.55, 'closing': 8.46, 'highest': 8.76, 'lowest': 8.4, 'avg': 8.5425}, 'KDJ': {'RSV': 0.0, 'K': 27.085671530115953, 'D': 44.3945629130814, 'J': -7.532111235814938}}
2016/01/12 {'chg': 0.0011820330969266885, 'volume': 73839466, 'rate': -0.0008349652170396773, 'vol_chg': -0.43154235391914736, 'relation': (False, False), 'RSI': 14.723359652382829, 'price': {'opening': 8.55, 'closing': 8.47, 'highest': 8.6, 'lowest': 8.43, 'avg': 8.5125}, 'KDJ': {'RSV': 1.4492753623188108, 'K': 18.540206140850238, 'D': 35.77644398900435, 'J': -15.932269555457985}}
2016/01/13 {'chg': -0.002361275088547975, 'volume': 69765193, 'rate': 0.02204440451044505, 'vol_chg': -0.055177443997225004, 'relation': (False, False), 'RSI': 14.529570833069508, 'price': {'opening': 8.63, 'closing': 8.45, 'highest': 8.65, 'lowest': 8.39, 'avg': 8.530000000000001}, 'KDJ': {'RSV': 0.0, 'K': 12.360137427233491, 'D': 27.971008468414063, 'J': -18.86160465512765}}
2016/01/14 {'chg': 0.004733727810650997, 'volume': 64912167, 'rate': -0.015133705581917706, 'vol_chg': -0.06956228158073038, 'relation': (False, False), 'RSI': 16.72684136382764, 'price': {'opening': 8.29, 'closing': 8.49, 'highest': 8.53, 'lowest': 8.25, 'avg': 8.39}, 'KDJ': {'RSV': 5.714285714285838, 'K': 10.144853522917606, 'D': 22.02895681991524, 'J': -13.623353071077666}}
2016/01/15 {'chg': -0.002355712603062376, 'volume': 79525278, 'rate': 0.03344600746984062, 'vol_chg': 0.2251212935165144, 'relation': (False, True), 'RSI': 16.515550977919045, 'price': {'opening': 8.5, 'closing': 8.47, 'highest': 8.53, 'lowest': 8.27, 'avg': 8.4425}, 'KDJ': {'RSV': 2.8571428571430455, 'K': 7.715616634326086, 'D': 17.257843424718853, 'J': -11.36883694645945}}
2016/01/18 {'chg': 0.0023612750885477654, 'volume': 67464910, 'rate': -0.00207612120217824, 'vol_chg': -0.15165452172326893, 'relation': (False, False), 'RSI': 26.40775879325309, 'price': {'opening': 8.34, 'closing': 8.49, 'highest': 8.51, 'lowest': 8.32, 'avg': 8.415000000000001}, 'KDJ': {'RSV': 5.714285714285838, 'K': 7.0485063276460025, 'D': 13.854731059027902, 'J': -6.563943135117796}}
