2016/01/04 {'chg': -0.052100840336134435, 'volume': 5848300, 'rate': 0.02103019225625924, 'vol_chg': 0, 'relation': (False, False), 'RSI': 0.0, 'price': {'opening': 17.84, 'closing': 16.92, 'highest': 17.84, 'lowest': 16.8, 'avg': 17.35}, 'KDJ': {'RSV': 50, 'K': 49.99999999999999, 'D': 49.99999999999999, 'J': 49.999999999999986}}
2016/01/05 {'chg': -0.0035460992907802758, 'volume': 13869497, 'rate': -0.0007743691925262888, 'vol_chg': 1.3715433544790794, 'relation': (False, True), 'RSI': 0.0, 'price': {'opening': 16.69, 'closing': 16.86, 'highest': 17.15, 'lowest': 16.5, 'avg': 16.8}, 'KDJ': {'RSV': 0.0, 'K': 33.33333333333333, 'D': 44.444444444444436, 'J': 11.111111111111114}}
2016/01/06 {'chg': 0.029062870699881494, 'volume': 7977332, 'rate': 0.005076744849606605, 'vol_chg': -0.42482903309326936, 'relation': (False, False), 'RSI': 34.30874250309595, 'price': {'opening': 17.0, 'closing': 17.35, 'highest': 17.37, 'lowest': 16.86, 'avg': 17.145000000000003}, 'KDJ': {'RSV': 100.0, 'K': 55.55555555555554, 'D': 48.14814814814814, 'J': 70.37037037037035}}
2016/01/07 {'chg': -0.06397694524495694, 'volume': 3354800, 'rate': 0.01107297741545872, 'vol_chg': -0.5794583953632618, 'relation': (False, False), 'RSI': 19.54637491962514, 'price': {'opening': 17.09, 'closing': 16.24, 'highest': 17.15, 'lowest': 16.16, 'avg': 16.659999999999997}, 'KDJ': {'RSV': 0.0, 'K': 37.037037037037024, 'D': 44.44444444444443, 'J': 22.222222222222214}}
2016/01/08 {'chg': 0.02894088669950754, 'volume': 10166956, 'rate': 0.007939700955044638, 'vol_chg': 2.0305699296530344, 'relation': (True, False), 'RSI': 32.654690822732256, 'price': {'opening': 16.79, 'closing': 16.71, 'highest': 16.96, 'lowest': 16.0, 'avg': 16.615000000000002}, 'KDJ': {'RSV': 42.34234234234245, 'K': 38.8054721388055, 'D': 42.56478700923145, 'J': 31.286842397953592}}
2016/01/11 {'chg': -0.061041292639138316, 'volume': 10193886, 'rate': -0.004220825624931576, 'vol_chg': 0.0026487770774261243, 'relation': (False, True), 'RSI': 24.303019335618515, 'price': {'opening': 16.58, 'closing': 15.69, 'highest': 16.95, 'lowest': 15.42, 'avg': 16.16}, 'KDJ': {'RSV': 0.0, 'K': 25.870314759203666, 'D': 36.99996292588885, 'J': 3.6110184258332936}}
2016/01/12 {'chg': 0.003824091778202709, 'volume': 10989221, 'rate': 0.0016919917026227186, 'vol_chg': 0.07802078618497402, 'relation': (True, False), 'RSI': 25.496753462106025, 'price': {'opening': 15.7, 'closing': 15.75, 'highest': 15.95, 'lowest': 15.44, 'avg': 15.709999999999999}, 'KDJ': {'RSV': 3.614457831325327, 'K': 18.45169578324422, 'D': 30.817207211673974, 'J': -6.279327073615292}}
2016/01/13 {'chg': -0.0025396825396824855, 'volume': 7252631, 'rate': 0.023258728374835395, 'vol_chg': -0.3400231918167812, 'relation': (False, False), 'RSI': 25.23248809202447, 'price': {'opening': 15.85, 'closing': 15.71, 'highest': 15.93, 'lowest': 15.6, 'avg': 15.7725}, 'KDJ': {'RSV': 1.2048192771085138, 'K': 12.702736947865649, 'D': 24.779050457071197, 'J': -11.449890070545443}}
2016/01/14 {'chg': 0.031190324633990987, 'volume': 6790870, 'rate': 0.010189138889528083, 'vol_chg': -0.06366806749164544, 'relation': (False, False), 'RSI': 33.675024313128645, 'price': {'opening': 15.42, 'closing': 16.2, 'highest': 16.46, 'lowest': 15.25, 'avg': 15.8325}, 'KDJ': {'RSV': 30.722891566265012, 'K': 18.709455153998768, 'D': 22.755852022713718, 'J': 10.616661416568867}}
2016/01/15 {'chg': -0.019753086419752996, 'volume': 5698898, 'rate': 0.018091689921791828, 'vol_chg': -0.16080001531467986, 'relation': (False, False), 'RSI': 31.427594132576665, 'price': {'opening': 16.1, 'closing': 15.88, 'highest': 16.15, 'lowest': 15.65, 'avg': 15.945}, 'KDJ': {'RSV': 11.445783132530185, 'K': 16.288231146842573, 'D': 20.599978397423335, 'J': 7.664736645681046}}
2016/01/18 {'chg': 0.0006297229219143442, 'volume': 5876575, 'rate': -0.004060897244361634, 'vol_chg': 0.031177431145460052, 'relation': (True, False), 'RSI': 38.30101455393448, 'price': {'opening': 15.71, 'closing': 15.89, 'highest': 16.1, 'lowest': 15.55, 'avg': 15.8125}, 'KDJ': {'RSV': 12.048192771084388, 'K': 14.874885021589844, 'D': 18.69161393881217, 'J': 7.2414271871451845}}
2016/01/19 {'chg': 0.018250471994965333, 'volume': 5800512, 'rate': -0.016076339221872505, 'vol_chg': -0.012943423677907625, 'relation': (False, False), 'RSI': 43.169105469868946, 'price': {'opening': 15.8, 'closing': 16.18, 'highest': 16.2, 'lowest': 15.68, 'avg': 15.965}, 'KDJ': {'RSV': 29.518072289156606, 'K': 19.755947444112095, 'D': 19.046391773912145, 'J': 21.175058784511997}}
2016/01/20 {'chg': -0.02657601977750307, 'volume': 5444727, 'rate': -0.015595704388266123, 'vol_chg': -0.061336826818046405, 'relation': (False, False), 'RSI': 32.2665485397661, 'price': {'opening': 16.11, 'closing': 15.75, 'highest': 16.13, 'lowest': 15.68, 'avg': 15.917499999999999}, 'KDJ': {'RSV': 5.882352941176512, 'K': 15.131415943133568, 'D': 17.741399830319285, 'J': 9.911448168762135}}
