2016/01/04 {'chg': -0.048433048433048416, 'volume': 80335550, 'rate': 0.021407889217356167, 'vol_chg': 0, 'relation': (False, False), 'RSI': 0.0, 'price': {'opening': 10.54, 'closing': 10.02, 'highest': 10.54, 'lowest': 9.98, 'avg': 10.27}, 'KDJ': {'RSV': 50, 'K': 49.99999999999999, 'D': 49.99999999999999, 'J': 49.999999999999986}}
2016/01/05 {'chg': 0.005988023952095858, 'volume': 100279178, 'rate': 0.008635056574414398, 'vol_chg': 0.2482540792961522, 'relation': (True, False), 'RSI': 11.00313479623833, 'price': {'opening': 9.88, 'closing': 10.08, 'highest': 10.26, 'lowest': 9.86, 'avg': 10.02}, 'KDJ': {'RSV': 100.0, 'K': 66.66666666666666, 'D': 55.55555555555554, 'J': 88.88888888888889}}
2016/01/06 {'chg': 0.01984126984126977, 'volume': 62746609, 'rate': -0.0030657432364868294, 'vol_chg': -0.3742807804028868, 'relation': (False, False), 'RSI': 34.781146162366156, 'price': {'opening': 10.11, 'closing': 10.28, 'highest': 10.33, 'lowest': 10.03, 'avg': 10.1875}, 'KDJ': {'RSV': 100.0, 'K': 77.77777777777777, 'D': 62.96296296296295, 'J': 107.40740740740742}}
2016/01/07 {'chg': -0.04085603112840466, 'volume': 14568913, 'rate': 0.030817467568220444, 'vol_chg': -0.7678135403301236, 'relation': (False, False), 'RSI': 22.43716015145071, 'price': {'opening': 10.15, 'closing': 9.86, 'highest': 10.18, 'lowest': 9.8, 'avg': 9.997499999999999}, 'KDJ': {'RSV': 0.0, 'K': 51.85185185185185, 'D': 59.259259259259245, 'J': 37.03703703703705}}
2016/01/08 {'chg': 0.03853955375253558, 'volume': 100196725, 'rate': 0.018483191191122024, 'vol_chg': 5.877433134510447, 'relation': (True, False), 'RSI': 41.89100345010474, 'price': {'opening': 10.01, 'closing': 10.24, 'highest': 10.46, 'lowest': 9.86, 'avg': 10.1425}, 'KDJ': {'RSV': 90.47619047619068, 'K': 64.72663139329812, 'D': 61.0817166372722, 'J': 72.01646090534994}}
2016/01/11 {'chg': -0.011718750000000097, 'volume': 115910058, 'rate': 0.042545418757529985, 'vol_chg': 0.1568248163799765, 'relation': (False, True), 'RSI': 38.92256675596168, 'price': {'opening': 10.03, 'closing': 10.12, 'highest': 10.37, 'lowest': 10.0, 'avg': 10.129999999999999}, 'KDJ': {'RSV': 61.90476190476186, 'K': 63.786008230452694, 'D': 61.983147168332366, 'J': 67.39173035469335}}
2016/01/12 {'chg': -0.01482213438735164, 'volume': 108380792, 'rate': -0.016858313327596672, 'vol_chg': -0.06495783135575689, 'relation': (False, False), 'RSI': 35.721016699265114, 'price': {'opening': 10.05, 'closing': 9.97, 'highest': 10.1, 'lowest': 9.9, 'avg': 10.004999999999999}, 'KDJ': {'RSV': 26.19047619047648, 'K': 51.25416421712729, 'D': 58.40681951793067, 'J': 36.948853615520534}}
2016/01/13 {'chg': -0.0020060180541626228, 'volume': 81701208, 'rate': 0.02263174712280225, 'vol_chg': -0.24616524300726644, 'relation': (False, False), 'RSI': 35.32773950354429, 'price': {'opening': 10.01, 'closing': 9.95, 'highest': 10.12, 'lowest': 9.92, 'avg': 10.0}, 'KDJ': {'RSV': 21.4285714285714, 'K': 41.312299954275325, 'D': 52.70864633004555, 'J': 18.519607202734875}}
2016/01/14 {'chg': 0.005025125628140776, 'volume': 85209692, 'rate': -0.01503123693327278, 'vol_chg': 0.04294286566729833, 'relation': (True, False), 'RSI': 37.063499325434385, 'price': {'opening': 9.71, 'closing': 10.0, 'highest': 10.03, 'lowest': 9.62, 'avg': 9.84}, 'KDJ': {'RSV': 33.33333333333348, 'K': 38.652644413961376, 'D': 48.02331235801749, 'J': 19.911308525849137}}
2016/01/15 {'chg': -0.003999999999999915, 'volume': 87274442, 'rate': 0.032142176189349385, 'vol_chg': 0.02423139846579894, 'relation': (False, True), 'RSI': 36.288233770597515, 'price': {'opening': 10.01, 'closing': 9.96, 'highest': 10.05, 'lowest': 9.8, 'avg': 9.955000000000002}, 'KDJ': {'RSV': 23.80952380952415, 'K': 33.70493754581563, 'D': 43.2505207539502, 'J': 14.613771129546507}}
2016/01/18 {'chg': -0.004016064257028205, 'volume': 52085229, 'rate': -0.008495657925567274, 'vol_chg': -0.4032018102160997, 'relation': (False, False), 'RSI': 47.26692246666302, 'price': {'opening': 9.8, 'closing': 9.92, 'highest': 10.09, 'lowest': 9.67, 'avg': 9.870000000000001}, 'KDJ': {'RSV': 14.285714285714407, 'K': 27.23186312578189, 'D': 37.91096821122743, 'J': 5.873652954890815}}
