date,stock,index,*Beta,ASR,profit
"2016-12-19,一",-0.0022 ,-0.0049 ,-0.004489376,0.0023 ,-0.0022 
"2016-12-20,二",0.0036 ,0.0111 ,0.010254459,-0.0066 ,0.0036 
"2016-12-21,三",-0.0083 ,0.0007 ,0.000625223,-0.0090 ,-0.0083 
"2016-12-22,四",-0.0153 ,-0.0094 ,-0.008626923,-0.0067 ,-0.0153 
"2016-12-23,五",-0.0048 ,0.0040 ,0.003677646,-0.0085 ,-0.0048 
"2016-12-26,一",0.0041 ,-0.0025 ,-0.002332889,0.0064 ,0.0041 
"2016-12-27,二",-0.0030 ,-0.0040 ,-0.003672321,0.0007 ,-0.0030 
"2016-12-28,三",0.0034 ,-0.0020 ,-0.001822731,0.0052 ,0.0034 
"2016-12-29,四",0.0056 ,0.0024 ,0.002242777,0.0033 ,0.0056 
"2016-12-30,五",0.0111 ,0.0104 ,0.009578376,0.0015 ,0.0111 
"2017-01-03,二",0.0230 ,0.0073 ,0.006716312,0.0163 ,0.0230 
"2017-01-04,三",0.0036 ,0.0021 ,0.001930043,0.0016 ,0.0036 
"2017-01-05,四",-0.0117 ,-0.0035 ,-0.003226497,-0.0085 ,-0.0117 
"2017-01-06,五",0.0054 ,0.0054 ,0.00493997,0.0005 ,0.0054 
"2017-01-09,一",-0.0072 ,-0.0030 ,-0.002779153,-0.0044 ,-0.0072 
"2017-01-10,二",0.0032 ,-0.0079 ,-0.007258739,0.0105 ,0.0032 
"2017-01-11,三",-0.0140 ,-0.0056 ,-0.005126182,-0.0089 ,-0.0140 
"2017-01-12,四",-0.0124 ,-0.0021 ,-0.001927912,-0.0105 ,-0.0124 
"2017-01-13,五",-0.0244 ,-0.0030 ,-0.00276036,-0.0216 ,-0.0244 
"2017-01-16,一",0.0144 ,0.0017 ,0.001584634,0.0128 ,0.0144 
"2017-01-17,二",-0.0119 ,0.0014 ,0.00125605,-0.0132 ,-0.0119 
"2017-01-18,三",-0.0045 ,-0.0038 ,-0.003464225,-0.0011 ,-0.0045 
"2017-01-19,四",0.0140 ,0.0070 ,0.006485426,0.0075 ,0.0140 
"2017-01-20,五",0.0045 ,0.0044 ,0.004019149,0.0005 ,0.0045 
"2017-01-23,一",-0.0052 ,0.0018 ,0.001696973,-0.0069 ,-0.0052 
"2017-01-24,二",0.0034 ,0.0022 ,0.002051377,0.0013 ,0.0034 
"2017-01-25,三",0.0078 ,0.0031 ,0.002812913,0.0050 ,0.0078 
"2017-01-26,四",0.0381 ,-0.0060 ,-0.005538731,0.0436 ,0.0381 
"2017-02-03,五",0.0677 ,0.0054 ,0.00492997,0.0628 ,0.0677 
"2017-02-06,一",-0.0067 ,-0.0012 ,-0.001134769,-0.0055 ,-0.0067 
"2017-02-07,二",0.0084 ,0.0044 ,0.004056912,0.0043 ,0.0084 
"2017-02-08,三",-0.0020 ,0.0051 ,0.004710851,-0.0067 ,-0.0020 
"2017-02-09,四",-0.0167 ,0.0042 ,0.003911517,-0.0206 ,-0.0167 
"2017-02-10,五",-0.0054 ,0.0063 ,0.005802128,-0.0112 ,-0.0054 
"2017-02-13,一",0.0044 ,0.0003 ,0.000312052,0.0041 ,0.0044 
"2017-02-14,二",-0.0048 ,-0.0015 ,-0.001413774,-0.0033 ,-0.0048 
"2017-02-15,三",0.0229 ,0.0052 ,0.004766642,0.0181 ,0.0229 
"2017-02-16,四",-0.0250 ,-0.0085 ,-0.007853119,-0.0172 ,-0.0250 
"2017-02-17,五",0.0103 ,0.0118 ,0.010894504,-0.0006 ,0.0103 
"2017-02-20,一",0.0369 ,0.0041 ,0.003800331,0.0331 ,0.0369 
"2017-02-21,二",0.0065 ,0.0024 ,0.002233462,0.0043 ,0.0065 
"2017-02-22,三",-0.0153 ,-0.0030 ,-0.002778719,-0.0125 ,-0.0153 
"2017-02-23,四",0.0145 ,0.0006 ,0.000580652,0.0139 ,0.0145 
"2017-02-24,五",0.0124 ,-0.0076 ,-0.007011553,0.0194 ,0.0124 
"2017-02-27,一",-0.0122 ,0.0040 ,0.003728061,-0.0159 ,-0.0122 
"2017-02-28,二",-0.0059 ,0.0016 ,0.001477257,-0.0073 ,-0.0059 
"2017-03-01,三",-0.0082 ,-0.0052 ,-0.004793398,-0.0034 ,-0.0082 
"2017-03-02,四",0.0158 ,-0.0036 ,-0.003341571,0.0192 ,0.0158 
"2017-03-03,五",0.0360 ,0.0048 ,0.004452577,0.0316 ,0.0360 
"2017-03-06,一",0.0768 ,0.0026 ,0.002432008,0.0743 ,0.0768 
"2017-03-07,二",-0.0198 ,-0.0005 ,-0.00049705,-0.0193 ,-0.0198 
"2017-03-08,三",-0.0027 ,-0.0074 ,-0.006794786,0.0041 ,-0.0027 
"2017-03-09,四",0.0185 ,-0.0012 ,-0.001142313,0.0196 ,0.0185 
"2017-03-10,五",0.0108 ,0.0076 ,0.00695412,0.0039 ,0.0108 
"2017-03-13,一",-0.0055 ,0.0007 ,0.000657198,-0.0062 ,-0.0055 
"2017-03-14,二",-0.0189 ,0.0008 ,0.000690845,-0.0196 ,-0.0189 
"2017-03-15,三",0.0222 ,0.0084 ,0.00772144,0.0145 ,0.0222 
