date,.,.,stock,index,*beta,ASR,profit,,,
"2017-04-14,五",5.76,3246.07,0.032986111,-0.007362749,-0.007206755,0.040192866,0.032986111,,,
"2017-04-17,一",5.95,3222.17,0.018487395,-0.007901507,-0.007734098,0.026221493,0.018487395,,,
"2017-04-18,二",6.06,3196.71,-0.004950495,-0.008139619,-0.007967164,0.003016669,-0.004950495,,,
"2017-04-19,三",6.03,3170.69,0.029850746,0.000444698,0.000435276,0.02941547,0.029850746,,,
"2017-04-20,四",6.21,3172.1,0.001610306,0.000331011,0.000323998,0.001286308,0.001610306,,,
"2017-04-21,五",6.22,3173.15,-0.006430868,-0.013746593,-0.013455343,0.007024475,-0.006430868,,,
"2017-04-24,一",6.18,3129.53,0.027508091,0.001610465,0.001576345,0.025931746,0.027508091,,,
"2017-04-25,二",6.35,3134.57,-0.023622047,0.002003465,0.001961017,-0.025583064,-0.023622047,,,
"2017-04-26,三",6.2,3140.85,-0.00483871,0.003610488,0.003533992,-0.008372702,-0.00483871,,,
"2017-04-27,四",6.17,3152.19,-0.01458671,0.000783582,0.00076698,-0.01535369,-0.01458671,,,
"2017-04-28,五",6.08,3154.66,0.021381579,-0.003471056,-0.003397514,0.024779093,0.021381579,,,
"2017-05-02,二",6.21,3143.71,-0.003220612,-0.002659278,-0.002602936,-0.000617676,-0.003220612,,,
"2017-05-03,三",6.19,3135.35,0.001615509,-0.00254517,-0.002491246,0.004106755,0.001615509,,,
"2017-05-04,四",6.2,3127.37,0.001612903,-0.0077797,-0.007614871,0.009227775,0.001612903,,,
"2017-05-05,五",6.21,3103.04,0.012882448,-0.007872925,-0.007706121,0.020588569,0.012882448,,,
"2017-05-08,一",6.29,3078.61,-0.011128776,0.000623658,0.000610445,-0.01173922,-0.011128776,,,
"2017-05-09,二",6.22,3080.53,-0.04340836,-0.009004944,-0.008814156,-0.034594204,-0.04340836,,,
"2017-05-10,三",5.95,3052.79,0.020168067,0.002853128,0.002792679,0.017375389,0.020168067,,,
"2017-05-11,四",6.07,3061.5,0.029654036,0.007189286,0.007036967,0.022617069,0.029654036,,,
"2017-05-12,五",6.25,3083.51,0.0128,0.002179335,0.002133161,0.010666839,0.0128,,,
