date,..,..,stock,index,*beta,ASR,profit,,,,
"2016-03-21,一",20.04,3018.8,0.00499002,-0.006439645,-0.00646445,0.01145447,0.00499002,,,,
"2016-03-22,二",20.14,2999.36,-0.000993049,0.003534087,0.003547701,-0.004540749,-0.000993049,,,,
"2016-03-23,三",20.12,3009.96,-0.019383698,-0.016275964,-0.016338659,-0.003045039,-0.019383698,,,,
"2016-03-24,四",19.73,2960.97,0.003547897,0.006234443,0.006258459,-0.002710562,0.003547897,,,,
"2016-03-25,五",19.8,2979.43,0,-0.007253065,-0.007281004,0.007281004,0,,,,
"2016-03-28,一",19.8,2957.82,-0.02020202,-0.012843919,-0.012893394,-0.007308626,-0.02020202,,,,
"2016-03-29,二",19.4,2919.83,0.025257732,0.027676269,0.027782878,-0.002525146,0.025257732,,,,
"2016-03-30,三",19.89,3000.64,0.002011061,0.0010931,0.001097311,0.00091375,0.002011061,,,,
"2016-03-31,四",19.93,3003.92,0.001003512,0.00186756,0.001874754,-0.000871241,0.001003512,,,,
"2016-04-01,五",19.95,3009.53,0.007017544,0.014467375,0.014523104,-0.00750556,0.007017544,,,,
"2016-04-05,二",20.09,3053.07,0.004977601,-0.000812297,-0.000815426,0.005793027,0.004977601,,,,
"2016-04-06,三",20.19,3050.59,-0.021792967,-0.013823555,-0.013876804,-0.007916163,-0.021792967,,,,
"2016-04-07,四",19.75,3008.42,-0.01721519,-0.007798113,-0.007828152,-0.009387038,-0.01721519,,,,
"2016-04-08,五",19.41,2984.96,0.034003091,0.01641563,0.016478864,0.017524228,0.034003091,,,,
"2016-04-11,一",20.07,3033.96,0.001993024,-0.003398199,-0.003411289,0.005404313,0.001993024,,,,
"2016-04-12,二",20.11,3023.65,0.006464446,0.014217915,0.014272683,-0.007808237,0.006464446,,,,
"2016-04-13,三",20.24,3066.64,0.009881423,0.005126132,0.005145877,0.004735545,0.009881423,,,,
"2016-04-14,四",20.44,3082.36,-0.008806262,-0.001375569,-0.001380868,-0.007425394,-0.008806262,,,,
"2016-04-15,五",20.26,3078.12,-0.01875617,-0.014443881,-0.014499519,-0.00425665,-0.01875617,,,,
"2016-04-18,一",19.88,3033.66,0.005533199,0.003019455,0.003031086,0.002502113,0.005533199,,,,
"2016-04-19,二",19.99,3042.82,-0.030515258,-0.02308385,-0.023172769,-0.007342488,-0.030515258,,,,
"2016-04-20,三",19.38,2972.58,-0.010319917,-0.006623876,-0.006649391,-0.003670527,-0.010319917,,,,
"2016-04-21,四",19.18,2952.89,0.001042753,0.002150436,0.002158719,-0.001115966,0.001042753,,,,
"2016-04-22,五",19.2,2959.24,-0.011458333,-0.004247712,-0.004264074,-0.007194259,-0.011458333,,,,
"2016-04-25,一",18.98,2946.67,0.005268704,0.006118771,0.006142341,-0.000873637,0.005268704,,,,
"2016-04-26,二",19.08,2964.7,0.00524109,-0.003720444,-0.003734775,0.008975865,0.00524109,,,,
"2016-04-27,三",19.18,2953.67,-0.004171011,-0.00273558,-0.002746117,-0.001424894,-0.004171011,,,,
"2016-04-28,四",19.1,2945.59,0.010994764,-0.002468096,-0.002477604,0.013472368,0.010994764,,,,
"2016-04-29,五",19.31,2938.32,0.022268255,0.018486754,0.018557966,0.003710289,0.022268255,,,,
"2016-05-03,二",19.74,2992.64,0.000506586,-0.00045779,-0.000459553,0.000966139,0.000506586,,,,
"2016-05-04,三",19.75,2991.27,-0.001518987,0.002196391,0.002204852,-0.003723839,-0.001518987,,,,
"2016-05-05,四",19.72,2997.84,-0.029411765,-0.028216983,-0.028325675,-0.00108609,-0.029411765,,,,
"2016-05-06,五",19.14,2913.25,-0.028735632,-0.027852055,-0.027959342,-0.00077629,-0.028735632,,,,
"2016-05-09,一",18.59,2832.11,-0.004841313,0.000169485,0.000170138,-0.00501145,-0.004841313,,,,
"2016-05-10,二",18.5,2832.59,0.020540541,0.001571,0.001577052,0.018963489,0.020540541,,,,
"2016-05-11,三",18.88,2837.04,-0.007944915,-0.000415926,-0.000417529,-0.007527387,-0.007944915,,,,
"2016-05-12,四",18.73,2835.86,-0.004805125,-0.003085484,-0.003097369,-0.001707756,-0.004805125,,,,
"2016-05-13,五",18.64,2827.11,0.009120172,0.008400805,0.008433165,0.000687007,0.009120172,,,,
"2016-05-16,一",18.81,2850.86,-0.005847953,-0.002518538,-0.00252824,-0.003319714,-0.005847953,,,,
"2016-05-17,二",18.7,2843.68,-0.009090909,-0.012719434,-0.012768429,0.00367752,-0.009090909,,,,
"2016-05-18,三",18.53,2807.51,0.001618996,-0.000213713,-0.000214536,0.001833532,0.001618996,,,,
"2016-05-19,四",18.56,2806.91,0.003232759,0.006615816,0.0066413,-0.003408542,0.003232759,,,,
"2016-05-20,五",18.62,2825.48,0.008055854,0.006430766,0.006455537,0.001600317,0.008055854,,,,
