K,avgPrice,profitRate,J,change,D,RSI,volume,vol_change
0.868496468369,-0.305227675186,0.342753531021,0.718659201249,-0.140975781488,0.851236849767,0.187226215097,0.0466114825273,0.0884220570834
-1.91547609557,-0.309200540828,-0.502719499923,-1.69728780709,-0.438732245213,-1.7800490406,-1.97285642524,-0.364068041946,0.395905705388
-1.83356078843,-0.309130431434,-0.58563664414,-1.73311590101,-0.511129358469,-1.60991717297,-1.50005437094,-0.506771180083,-0.672475997094
-1.71068782773,-0.307915201944,-0.374731932616,-1.73340057487,-0.72738452126,-1.40107408996,-1.42686227862,0.00415374660536,0.775469070927
0.699010111557,-0.305905399325,0.534225271754,0.627627747707,0.483471039539,0.642443375353,0.233337180804,-0.0888310662137,0.350570639153
0.333025531085,-0.306372795283,-0.306162835598,0.0242671467242,-0.577188375776,0.544320534244,0.451414054667,-0.337338603824,-0.0546262236162
0.66087812701,-0.306255946294,0.738209270705,0.779400798701,0.745343604865,0.446100939001,0.834233529126,-0.0072695325432,0.613154983238
0.275827554265,-0.307728243561,-0.331369360876,0.227042005361,-0.14007316978,0.271385232641,0.272000330869,-0.361272235577,-0.213768572435
0.275827554265,-0.307728243561,-0.331369360876,0.227042005361,-0.14007316978,0.271385232641,0.272000330869,-0.361272235577,-0.213768572435
0.294337994034,-0.30784509255,-0.0391880079355,0.314229646263,0.0455849287171,0.22720636836,0.25507950181,-0.327611526132,-0.236576198273
0.294337994034,-0.30784509255,-0.0391880079355,0.314229646263,0.0455849287171,0.22720636836,0.25507950181,-0.327611526132,-0.236576198273
0.355219559182,-0.307774983157,-0.768747546138,0.521924675062,-0.763164788473,0.150463274813,0.0897240871256,-0.275892996887,-0.33421881315
0.355219559182,-0.307774983157,-0.768747546138,0.521924675062,-0.763164788473,0.150463274813,0.0897240871256,-0.275892996887,-0.33421881315
0.355219559182,-0.307774983157,-0.768747546138,0.521924675062,-0.763164788473,0.150463274813,0.0897240871256,-0.275892996887,-0.33421881315
-0.60177528911,-0.285129648999,-0.166471897061,0.216557304352,-0.331992282472,-1.20939240133,-1.24943116809,-0.577085988698,-0.290077510064
-0.988101239752,-0.285269867787,-0.221580870872,-0.207719903644,-0.176995629988,-1.49733699553,-1.02160896312,-0.547970707211,-0.372842523621
-0.988101239752,-0.285269867787,-0.221580870872,-0.207719903644,-0.176995629988,-1.49733699553,-1.02160896312,-0.547970707211,-0.372842523621
-1.25256450063,-0.285550305361,0.172544404404,-0.479497938145,0.32426663378,-1.71063747318,-1.34663122982,-0.480876071189,0.233808971556
-1.12679659883,-0.279217090132,-0.662639968483,-1.49643898024,-0.59241397083,-0.615303775495,-1.03036838823,-0.47583162172,-0.108721949175
0.239416570354,-0.276529563375,-0.538454097345,0.982265852919,-0.352057443177,-0.445307460476,-0.114218072903,-0.486044038332,-0.349237381666
0.239416570354,-0.276529563375,-0.538454097345,0.982265852919,-0.352057443177,-0.445307460476,-0.114218072903,-0.486044038332,-0.349237381666
-0.0792369400082,-0.276763261354,-0.468552279934,0.7988523473,0.264759351452,-0.827228208409,-0.29715049937,-0.404614566937,0.0552257769108
-0.0792369400082,-0.276763261354,-0.468552279934,0.7988523473,0.264759351452,-0.827228208409,-0.29715049937,-0.404614566937,0.0552257769108
-0.0792369400082,-0.276763261354,-0.468552279934,0.7988523473,0.264759351452,-0.827228208409,-0.29715049937,-0.404614566937,0.0552257769108
-0.0929883662655,-0.275454552672,-0.396034100795,0.117846525611,-0.118713823207,-0.260050997436,-0.305442062204,-0.555549140769,-0.243474936526
-0.0164854019327,-0.274776828533,-0.463338518745,1.21175443912,-0.0902165225909,-1.07873848537,-0.154803785916,-0.417506684428,0.445268839546
-0.0164854019327,-0.274776828533,-0.463338518745,1.21175443912,-0.0902165225909,-1.07873848537,-0.154803785916,-0.417506684428,0.445268839546
-0.0164854019327,-0.274776828533,-0.463338518745,1.21175443912,-0.0902165225909,-1.07873848537,-0.154803785916,-0.417506684428,0.445268839546
1.17037243142,-0.272252890361,-0.521188589008,1.3088594921,-0.120085573638,0.851936935644,1.00700515823,-0.493496034265,-0.111068505316
1.17037243142,-0.272252890361,-0.521188589008,1.3088594921,-0.120085573638,0.851936935644,1.00700515823,-0.493496034265,-0.111068505316
-0.887152364733,-0.274870307725,-0.144301279372,-0.424025290805,0.259578274509,-1.13839487897,-0.164689710135,-0.453019878224,-0.124729221347
-1.29401404428,-0.275384443278,-0.166397322555,-1.11568056436,-0.466259321311,-1.22934984475,-0.586638127814,-0.460628128975,0.514339415575
-0.964051389754,-0.274893677522,-0.45285989244,-0.577863454194,-0.0900565119442,-1.13554500004,-0.487333291587,-0.573148266202,-0.228488695928
-0.964051389754,-0.274893677522,-0.45285989244,-0.577863454194,-0.0900565119442,-1.13554500004,-0.487333291587,-0.573148266202,-0.228488695928
-1.09594419053,-0.275548031863,-0.180692720351,-0.783016460473,-0.234883882518,-1.18155895129,-0.342388268324,-0.557752646291,-0.16678553432
-1.09594419053,-0.275548031863,-0.180692720351,-0.783016460473,-0.234883882518,-1.18155895129,-0.342388268324,-0.557752646291,-0.16678553432
-0.543572692304,-0.273000723893,0.726640532823,-0.269882137848,-0.176995629988,-0.688776758702,-0.951055984112,-0.500702342518,0.595638933473
0.581393751622,-0.272533327935,-0.701461776243,0.153101737316,-0.743702140633,0.854248078475,0.858270175316,-0.347770344327,-0.134954051455
0.881866690012,-0.271084400466,-0.352005599137,0.655635261143,-0.346396761792,0.928585030261,1.10067757721,-0.353980312861,-0.336053972749
