SH#600000,1.017547,-0.000074,1.033078
SH#600016,1.008499,-0.000117,0.987026
SH#600019,1.010807,-0.000029,0.991321
SH#600028,1.023024,0.000004,0.975684
SH#600029,1.197432,0.000340,0.835392
SH#600030,1.305762,0.000422,0.872639
SH#600036,1.003369,0.000107,0.913917
SH#600048,1.190175,-0.000058,0.742577
SH#600050,1.043983,0.000172,0.888881
SH#600104,1.081091,0.000138,1.147095
SH#600111,1.280892,0.000306,1.165123
SH#600309,1.066050,0.000128,0.986363
SH#600340,0.989647,0.000824,0.810101
SH#600518,0.952488,0.000107,0.975390
SH#600519,0.599727,0.000715,0.965500
SH#600547,0.992897,0.000554,0.836223
SH#600606,1.672810,0.000223,4.073732
SH#600837,1.098689,0.000211,2.062705
SH#600887,0.834133,0.000305,1.411846
SH#600958,1.419554,0.003471,0.126682
SH#600999,1.356150,-0.000096,0.323669
SH#601006,0.953889,0.000010,0.744853
SH#601088,1.135136,-0.000364,0.635781
SH#601166,1.134809,-0.000011,0.711735
SH#601169,1.018089,0.000084,0.628757
SH#601186,1.010077,0.000331,0.570820
SH#601211,1.311866,0.000958,0.088805
SH#601288,0.673197,-0.000019,0.290084
SH#601318,1.187326,0.000054,0.686306
SH#601328,0.951925,-0.000210,0.685430
SH#601336,1.346988,0.000290,0.224280
SH#601390,1.054734,0.000472,0.604053
SH#601398,0.755871,-0.000054,0.734787
SH#601601,1.192455,0.000107,0.605539
SH#601628,1.121293,-0.000078,0.721776
SH#601668,1.036272,0.000043,0.359183
SH#601669,1.348768,0.000481,0.235817
SH#601688,1.484127,0.000060,0.310473
SH#601766,1.000335,0.001082,0.454001
SH#601800,1.132182,0.000606,0.228716
SH#601818,0.966559,-0.000010,0.280265
SH#601857,0.817546,-0.000612,0.625741
SH#601985,1.051138,0.008644,0.104002
SH#601988,0.767586,-0.000159,0.746926
SH#601989,1.350941,0.000134,0.280596
SH#603993,1.404342,-0.001001,0.213370
